 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.03                           US0SIX,Ivano-Frankivs'k KN28JW (IF) 
 69.59 H        4.000 KN38RO     UR 1 Persha Prog.,Novodnistrovs'k/CHFKRRT (CV) (i)
 69.62          0.200 KN49SE     UR 1 Persha Prog.,Orativ/Ukrtelekom (VI) 
 69.65 H        4.000 KN99KG     UR 3 Radio Kul'tura,Pidgorivka/LFKRRT (LU) 
 69.68 H        4.000 KO50GL     Radio Mariya v Ukraini,Kyiv/RaTel, vul. Olegivs'ka, 34b (KC) 
 69.77 H       17.000 KN87TW     UR 1 Persha Prog.,Donets'k/DFKRRT, vul. Pikhotna, 4a (DO) (i)
 69.80 H       17.000 KN56XX     UR 1 Persha Prog.,Mykolayiv/Varvarivs'kyj RPTS, vul. Veselynivs'ka, 59 (MY) 
       H       17.000 KO31TE     UR 2 Radio Promin',Olevs'k/ZHFKRRT, vul. Svyatomykolayivs'ka, 146 (ZH) (i)
 69.83 H       17.000 KN29UO     UR 1 Persha Prog.,Ternopil'/Lozova, TFKRRT, vul. Pol'ova, 13 (TE) 
       V        1.500 KO80CB     Radio Mariya v Ukraini   ,Kharkiv/KHORTPTS, vul. Derev'yanka, 1a (KA) 
 69.92 H       17.000 KN58KB     UR 1 Persha Prog.,Pervomais'k/MFKRRT, Pidgornyans'ke shose, 13 (MY) 
       H       17.000 KO70KL     UR 2 Radio Promin',Trostyanets'/SFKRRT, vul. Neskuchans'ka, 50 (SU) 
       H        4.000 KN77NU     Svitle radio Emmanuyil,Zaporizhzhya/ZFKRRT, vul. Matrosova, 24 (ZP) 
 70.04 H       17.000 KN18OF     UR 1 Persha Prog.,Khust/ZFKRRT, gora Tovsta (ZK) 
       H       17.000 KN66HP     UR 3 Radio Kul'tura,Kherson/KHFKRRT, vul. Perekops'ka, 5 (KE) 
       H        8.000 KO40HM     Radio Mariya v Ukraini,Andrijivka/ZHFKRRT (ZH) 
 70.10 H       17.000 KN48QI     UR 1 Persha Prog.,Bershad'/Balanivka, VFKRRT (VI) (i)
 70.19 H        4.000 KN28CC     UR 1 Persha Prog.,Rakhiv/ZFKRRT, gora Terentyn (ZK) 
 70.22 H        0.300 KN49UI     ,Tetiyiv/KSFKRRT, vul. Pol'ova, 2 (KY) (c)
 70.37 V        2.400 KN78MK     Svitle radio Emmanuyil,Dnipro/DFKRRT, vul. Televizijna, 3 (DP) 
 70.40 H       17.000 KO50FL     Hromads'ke Radio,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) (i)
 70.46 H 6000  17.000 KN39LK     UR 2 Radio Promin',Khmel'nyts'kyj/KHFKRRT, prosp. Myru, 43 (KM) 
       H       17.000 KN89PE     UR 3 Radio Kul'tura,Izyum/KHORTPTS, vul. Kruta, 56 (KA) 
 70.49 H        5.000 KN87TW     Radio Kometa (pirate broadcasting),Donets'k/DFKRRT, vul. Pikhotna, 4a (DO) 
 70.52 H        4.000 KN56IK     UR 1 Persha Prog.,Odesa/OORTPTS, vul. Fontans'ka doroga, 3 (OD) 
 70.64 H       17.000 KN69AL     UR 2 Radio Promin',Cherkasy/CHFKRRT, vul. Pal'okhy, 2 (CK) 
                0.200 KN18SN     UR 1 Persha Prog.,Mizhhir'ya/ZFKRRT, gora Turshul (ZK) 
 70.70 H        0.300 KN46TA     Golos Nadiyi,Sarata/OORTPTS, vul. Mel'nychna, 1b (OD) 
       H        0.100 KO30BC     UR 1 Persha Prog.,Shums'k/TFKRRT, vul. Shevchenka, 14 (TE) 
