 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 94.80 H 22E4  10.000 KO28HJ     Raadio 4,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
 94.90 V 22E3   1.000 KO18HU     Klassikaraadio,Männamaa (HII) 
 95.10 V 22E4   1.000 KO29JA     Raadio 4,Tamme/Telia mast (RAP) 
                0.400            ,unknown (c)
 95.20 V 22EE   1.000 KO38JJ     Sky Plus,Rõõmu (TAR) 
 95.30 H 22E4   1.500 KO39NI     Raadio 4,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
 95.40 M 22EE   2.000 KO29KL     Sky Plus,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
       V 23EB   1.000 KO18FI     Retro FM,Saia/Toodangu/Aste Telia mast (SAA) 
 95.50 V 22E4   0.285 KO28TI     Raadio 4,Viiratsi/Elisa mast (VIL) 
 95.60 V 2376   0.230 KO49CJ     Semeinoje Radio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
 95.70 V 22E1   0.950 KO28FV     Vikerraadio,Märjamaa, Välja tn. 3 (RAP) 
       V 2377   0.600 KO37MU     Pereraadio,Võrumõisa/Tele2 mast (VOE) 
 95.80 V 22E2   1.000 KO39EL     Raadio 2,Pehka/Möldre (L-V) 
 95.90 V        0.010            ,Tallinn/Kalevi Spordihall, Juhkentali tänav 12 (HAR) (t)
 96.00 V 2035   1.000 KO18SW     Äripäeva Raadio,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
 96.10 V 2485   2.300 KO39BD     Raadio 7,Sääse/Tamsalu Elisa mast (L-V) 
 96.30 V 22EE   1.900 KO18GS     Sky Plus,Vanamõisa/Telia mast (SAA) 
       V 2478   0.600 KO39PJ     Narodnoe Radio,Kohtla-Järve/Järve/Telia mast, Olevi tn. 1 (IDA) 
       V 22E2   0.100 KO38II     Raadio 2,Tartu, Soola tn. 8 (TAR) 
 96.40 V 2466   0.250 KO28HJ     Relax FM,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
       V 22E1   0.010 KO17PT     Vikerraadio,Ruhnu (SAA) 
 96.50 V 22EE   0.125 KO38BP     Sky Plus,Lustivere/Telia mast (JOG) 
 96.60 V 2301   2.000 KO29KL     Star FM,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
       V 2099   1.000 KO37DX     Ruut FM,Tiidu/Maasika/Sangaste Telia mast (VAL) 
 96.80 V 22EE   1.650 KO28EJ     Sky Plus,Malda/Audru Telia mast (PAE) 
 96.90 V 22EE   1.500 KO18KX     Sky Plus,Sääre/Telia mast (HII) 
 97.00 V 24F4   0.300 KO39DG     Tre Raadio,Karitsa/Pauli (L-V) 
 97.20 V 2321   2.000 KO29KL     MyHits,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
       V 2321   1.000 KO38II     MyHits,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 97.40 V 2321   3.000 KO18GG     MyHits,Kuressaare/Telia mast, Pikk tn. 75A (SAA) 
       H 2321   2.500 KO38AX     MyHits,Kapu/Koeru raadio- ja telemast (JAE) 
