       H        1.400 JM33WV     ,Nefta (TOZ) (p)
       V 7201   1.000 JM43AH     RTT Radio Jeunes,Rjim Maatoug 
 96.10 V 7212   7.100 JM56JT     RTT Radio Culture,Kef-Errand (NAB) 
 96.20 H 7213  52.500 JM54IW     Shems FM,Sfax/El-Ghraba (SFA) 
       H 7208   0.400 JM45GU     RTT Radio Kef,Sidi Salem (ELK) 
 96.30                JM47OB     Radio Zitouna FM,Sejenane (BIZ) 
 96.50 H 7201  80.000 JM56BI     RTT Radio Jeunes,Zaghouan/Djebel Zaghouan (ZAG) 
       V 7225   0.600 JM53AT     Radio Oasis FM,Gabès/El M Dou (GAB) 
 96.60 H 7205  80.000 JM52FC     RTT Radio Tataouine,Remada (TAT) 
       H 7201   5.600 JM46IS     RTT Radio Jeunes,Aïn Draham/Djebel Al-Bi'r (JEN) 
       H              JM47MA     ,Nefza (BEJ) (p)
 96.70 H 7207   0.300 JM53EB     RTT Radio Nationale,Ghomrassen (TAT) 
 96.80 H 7229  27.000 JM44OK     Radio iFM,Gafsa/Djebel Biadha (GAF) 
       H 7208   2.541 JM46IE     RTT Radio Kef,El Kef (ELK) 
 96.90   7211   1.000 JM55LK     Radio Zitouna FM,Ksour-Essaf (MAH) 
 97.00 H 7201   5.000 JM47XC     RTT Radio Jeunes,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
 97.20 H 7202  72.500 JM53MM     RTT R.Tunis Chaine Int.,Zarzis (MED) 
       H        1.100 JM56JT     unid.,Kef-Errand (NAB) 
         1234         JM56CT     Radio 6,Tunis (TUN) 
         7207         JM46NL     RTT Radio Nationale,Jabal al Qar`ah 
                      JM55BQ     RTT Radio Nationale,Kairouan=Al-Qayrawan (KAI) 
 97.30 H 7203   5.000 JM45TN     RTT Radio Monastir,Kairouan/Djebel Trozza (KAI) 
       H 7201   1.000 JM33WV     RTT Radio Jeunes,Nefta (TOZ) 
 97.40   7229         JM54IW     Radio iFM,Sfax/El-Ghraba (SFA) 
 97.60                JM46IS     Radio iFM,Aïn Draham/Djebel Al-Bi'r (JEN) 
 97.70 V 7201   1.200 JM52FW     RTT Radio Jeunes,Tataounie/Brourmet (TAT) 
       V        1.000 JM53AT     ,Gabès/El M Dou (GAB) (p)
         F064         JM56BJ     Radio Holy Qur'an,Zaghouan (ZAG) 
 97.80 H 7229   1.000 JM43BW     Radio iFM,Tozeur (TOZ) 
       V 7211   0.900 JM45NV     Radio Zitouna FM,Maktar/Souk Jomaa (KAS) 
 98.00 H 7223   5.000 JM55MM     KnOOz FM,Mahdia (MAH) 
       H        0.100 JM55IM     Radio Msaken,Zeramdine (MON) 
         7223         JM55JS     KnOOz FM,Monastir (MON) 
 98.10 H        4.200 JM52FC     ,Remada (TAT) (p)
 98.20 H 7202   5.000 JM56EQ     RTT R.Tunis Chaine Int.,Ben Arous/Djebel Bou-Kornine (TUN) 
 98.30 H 7211  35.000 JM44OK     Radio Zitouna FM,Gafsa/Djebel Biadha (GAF) 
 98.50 H 7203   0.200 JM56IN     RTT Radio Monastir,Sidi Abdessalem (NAB) 
 98.60 H 7210  44.700 JM54IW     Jawhara FM,Sfax/El-Ghraba (SFA) 
       V 7201   0.830 JM53KT     RTT Radio Jeunes,Djerba/Ouallarh (MED) 
 98.70 H 7212   3.000 JM46NL     RTT Radio Culture,Beja/Gorraa (BEJ) 
 98.80 V 7217   3.800 JM45TN     Radio Sabra FM,Kairouan/Djebel Trozza (KAI) 
       H 7201   1.000 JM33WV     RTT Radio Jeunes,Nefta (TOZ) 
       H 7201   1.000 JM43BW     RTT Radio Jeunes,Tozeur (TOZ) 
 98.90                JM56EQ     Platine Radio,Ben Arous/Djebel Bou-Kornine (TUN) 
 99.00 V 7203   1.000 JM55HT     RTT Radio Monastir,Sousse (SOU) 
 99.10 H 7211   5.000 JM47XC     Radio Zitouna FM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
         7234         JM53AT     Diwan FM,Gabès/El M Dou (GAB) 
 99.20 H 7202  49.000 JM45IE     RTT R.Tunis Chaine Int.,Kasserine/Djebel ech Chambi (KAS) 
 99.30 H        1.400 JM33WV     ,Nefta (TOZ) (p)
         7211         JM53GI     Radio Zitouna FM,Medenine (MED) 
