 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01                KP11QU     OH1SIX,Ikaalinen KP11QU (PI) (i)
       V 6239   1.000 KP36TA     Kesäseuraradio,Posio/Susivaara-Ylentie 15 (LA) (t)
       V 6239   1.000 KP25ET     Kesäseuraradio,Tornio - Torneå/Kyläjoki-Rakanmäki (LA) (t)
       V 61F1   1.000 KP32VI     Radio Sandels,Leppävirta (PS) 
       V 62B1   0.400 KP20LE     Kasari,Helsinki - Helsingfors/Hanasaari (UU) 
       V 6340   0.200 KP11UM     NRJ Energy,Tampere - Tammerfors/Näsinneula (PI) 
 90.10 H 6202  60.000 KP12LW     YleX,Lapua - Lappo/Simpsiö-Mastontie (EP) 
       H 6202   3.000 KP38NB     YleX,Sodankylä/Vuotso-Riestovaara (LA) 
       V 6459   1.000 KP10WW     Loop,Tammela/Torajärvi-Rimmiläntie 110 (KH) 
       V 628E   0.200 KP10EL     Radio Patmos,Turku - Åbo/Metsämäki-Pitkäsaarenmäki (VS) 
 90.20 H 6201  30.000 KP43VB     YLE Radio Yksi,Lieksa/Koli-Verkkovaara (PK) 
       V 6209   3.000 KP21WK     Radio Nova,Sysmä/Nuoramoinen-Nissintie 1 (PH) 
       H 6201   3.000 KP26BT     YLE Radio Yksi,Pello/Ritavaara-Rovaniementie (LA) 
       M 6202   0.050 KP39DT     YleX,Utsjoki/Nuvvus-Nuvvos, Ailigas (LA) 
 90.30 V 63AE   3.000 KP11NX     Radio 957,Parkano (PI) 
       V 6203   1.000 KP24EA     YLE Radio Suomi,Sievi/Ylivieska-Koriamäki, Ouluntie (PP) 
       V 6363   0.500 KP20LE     HitMix,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) 
       V        0.300 KP21AG     ,Valkeakoski/Kaskela-Pilvitie (PI) (c)
 90.40 H 6201  50.000 KP25WA     YLE Radio Yksi,Oulu - Uleåborg/Kiiminki-Isohalme, Radiotie (PP) 
       V 6209   3.000 KP01UG     Radio Nova,Eurajoki - Euraåminne/Korvenkulma-Porintie 899 (ST) 
       V 6363   1.000 KP32TG     HitMix,Joroinen/Ukonvuori (ES) 
       V 6239   0.300 KO19RX     Kesäseuraradio,Raasepori (UU) (t)
                0.005 KP12KS     ,Seinäjoki (EP) (c)
 90.50 H 6201  30.000 KP41PX     YLE Radio Yksi,Kerimäki/Yläkuona-Yläkuonantie (ES) 
       V 6255   5.000 KP22KO     Järviradio,Pylkönmäki/Saarijärvi (KS) 
       V 6207   5.000 KP21SA     YLE Puhe,Lahti - Lahtis/Hollola-Tiirismaa, Arvi Hauvosentie (PH) 
       V 62AD   2.000 KP33MO     Iskelmä,Iisalmi/Iimäki (Telemast) (PS) 
       V 6665   1.000 KP10EL     Radio Auran Aallot,Turku - Åbo/Metsämäki-Pitkäsaarenmäki (VS) 
       V 6459   0.500 KP03TC     Loop,Vaasa - Vasa/Klemettilä (PO) 
       V 62AC   0.500 KP26SN     Radio City,Rovaniemi/Vennivaara-Vennivarantie (LA) 
       V        0.005 KP22UE     Killerin raviradio,Jyväskylä/Killeri (KS) (t)
 90.60 V 62AD   1.000 KP32TV     Iskelmä,Kuopio/Neulamäki (PS) 
 90.70 H 6201  60.000 KP11WP     YLE Radio Yksi,Tampere - Tammerfors/Teisko (PI) 
       V 6203   3.000 KP13QJ     YLE Radio Suomi,Evijärvi (EP) 
       H 6201   3.000 KP46ND     YLE Radio Yksi,Kuusamo/Ruka-Vuosselintie (PP) 
       M 6201   2.000 KP39MV     YLE Radio Yksi,Utsjoki/Kirkonkylä-Ailigas (LA) 
       V 62A2   0.500 KP30MM     SuomiRock,Kotka, Mansikkavuori (KY) 
       V 6411   0.500 KP42VO     ,Joensuu/Vestinkallio (PK) (c)
 90.80 H 6239   1.000 KP24PD     Kesäseuraradio,Haapavesi/Haapovuori-Mastontie (PP) (t)
       V 6203   1.000 KP20TJ     YLE Radio Suomi,Porvoo - Borgå/Järnböle-Myrskyläntie 151 (UU) 
       V        1.000 KP20TJ     ,Porvoo - Borgå/Järnböle-Myrskyläntie 151 (UU) (c)
       V 6207   0.500 KP33XH     YLE Puhe,Nilsiä/Tahko-Syvärinranta (PS) 
 90.90 H 6202  30.000 KP41GD     YleX,Joutseno/Pappilankangas-Valtatie no 6 (EK) 
       V 6411   5.000 KP22UE     Radio Nostalgia,Jyväskylä/Keljo (KS) 
       H 6201   3.000 KP10SD     YLE Radio Yksi,Fiskars/Raasepori-Fiskari, Flacsjöntie (UU) 
       V 6357   1.000 KP44BR     Aito Iskelmä,Paljakka/Hyrynsalmi-Karpinvaara (KA) 
       V 6092   1.000 KP25TA     Radio Helsinki,Oulu - Uleåborg/Hiukkavaara-Mastotele (PP) 
       V 6202   0.045 KP24EP     YleX,Raahe - Brahestad/Rautaruukki (PP) 
       V 6202   0.030 KP09KB     YleX,Enontekiö/Kilpisjärvi-Käsivarrentie (LA) 
 91.00 M 6201  50.000 KP37OA     YLE Radio Yksi,Pelkosenniemi/Pyhätunturi-Kerontie (LA) 
       H 6202  30.000 KP02TG     YleX,Kristiinankaupunki-Kristinestad/Lapväärtti-Pyhävuo (PO) 
       V 62A2   3.000 KP10OT     SuomiRock,Forssa/Ypäjä (KH) 
       V 6255   1.000 KP30IV     Järviradio,Kouvola/Palomäki-Vuorikatu (KY) 
       V 6460   1.000 KP32XH     Radio SuomiPOP,Varkaus/Könönpelto-Pitkälänniementie (PS) 
       V 6E65   0.500 KP31GA     Radio Voima,Jaala/Palojärvi-Palojärventie (KY) (t)
 91.10 H 6202  50.000 KP23TG     YleX,Pihtipudas/Ilosvuori-Viitasaarentie (KS) 
       V 62AB   1.000 KP00RT     KISS,Uusikaupunki - Nystad/Orivo (VS) 
       V 6367   0.500 KP20LE     Radio Aalto,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) 
 91.20 V 628B   1.000 KP11MS     FUN,Ikaalinen - Ikalis/Teiharju-Psvoy (PI) 
       V 62B1   0.200 KP03TC     Kasari,Vaasa - Vasa/Klemettilä (PO) 
       V 1000   0.050 KP20TX     Pasiradio,Lahti - Lahtis (PH) (t)
 91.30 H 6031  10.000 KP00BE     Ålands Radio,Sund/Finby-Fejansberg (AH) 
       H 6202   5.000 KP10WW     YleX,Tammela/Torajärvi-Rimmiläntie 110 (KH) 
       V 6255   3.000 KP22UE     Järviradio,Jyväskylä/Keljo (KS) 
       V 6266   3.000 KP41PX     Radio Dei,Kerimäki/Yläkuona-Yläkuonantie (ES) 
       V 6255   2.000 KP02VK     Järviradio,Teuva (EP) 
       V 628C   1.000 KP34UE     Helmiradio,Kajaani - Kajana/Rouvankangas (KA) 
       V 6239   0.100 KP01XM     Kesäseuraradio,Ulvila (ST) (t)
       H F202   0.012 KQ30XC     ,Utsjoki/Nuorgam-Raja (LA) (c)
       V        0.004 KP01VM     Pori Jazz,Pori (ST) (t)
 91.40 H 6201  60.000 KP13SR     YLE Radio Yksi,Kruunupyy - Kronoby/Alaveteli-Saarukantie (PO) 
       H 6207  30.000 KP30MQ     YLE Puhe,Anjalankoski/Kouvola-Liikkala, Sopasenpolku 40 (KY) 
       H 6202   5.000 KP08QS     YleX,Enontekiö/Karesuvanto-Lammaskoski (LA) 
       V 6288   1.000 KP10SD     Radio Rock,Fiskars/Raasepori-Fiskari, Flacsjöntie (UU) 
       V        0.015 KP20LE     Temporary stns,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) (t)
 91.50 H 6202  30.000 KP36TA     YleX,Posio/Susivaara-Ylentie 15 (LA) 
       V 60C1   3.000 KP10EJ     Radio Robin Hood,Turku - Åbo/Kaarina-Kuusisto, Vuolahdentie 137 (VS) (i)
       V 6357   1.000 KP12JS     Aito Iskelmä,Seinäjoki/Jouppila-Jouppilanvuorenrinne 61 (EP) 
       V 6480   1.000 KP22HA     Radio SUN,Mänttä-Vilppula/Mäntänvuori (PI) 
       V 6203   0.050 KP38RK     YLE Radio Suomi,Kaunispää (LA) 
 91.60 H 6201  50.000 KP32SR     YLE Radio Yksi,Kuopio/Vehmasmäki-Möykkylänmäentie (PS) 
       V 6340   2.000 KP27CN     NRJ Energy,Kolari/Ylläs-Tunturintie 84 (LA) 
       V 6357   1.000 KP20LN     Aito Iskelmä,Hyvinkää/Jokela (UU) 
       V 6288   1.000 KP03SF     Radio Rock,Vaasa - Vasa/Mustasaari-Alskat (PO) 
       H        0.500 KP25WA     Jouluradio,Oulu - Uleåborg/Kiiminki-Isohalme, Radiotie (PP) (t)
       H 6239   0.500 KP25WA     Kesäseuraradio,Oulu - Uleåborg/Kiiminki-Isohalme, Radiotie (PP) (t)
       V 6460   0.200 KP11UM     Radio SuomiPOP,Tampere - Tammerfors/Näsinneula (PI) 
       V 6209   0.050 KP01VL     Radio Nova,Pori - Björneborg/keskusta (ST) 
 91.70 V 6357   1.000 KP30IV     Aito Iskelmä,Kouvola/Palomäki-Vuorikatu (KY) 
       V 6340   1.000 KP12MA     Radio SUN,Parkano/Sopukallio (PI) 
 91.80 V 6357   3.000 KP23TG     Aito Iskelmä,Pihtipudas/Ilosvuori-Viitasaarentie (KS) 
       V 62B1   1.000 KP10MU     Kasari,Loimaa - Loimijoki/viljavarasto (VS) 
       V 6266   1.000 KP13NT     Radio Dei,Kokkola, Kuivakanto (KP) 
       H 6239   0.600 KP12LW     Kesäseuraradio,Lapua - Lappo/Simpsiö-Mastontie (EP) (t)
       H 628E   0.600 KP12LW     Radio Patmos,Lapua (EP) (t)
       V 6207   0.500 KP21WK     YLE Puhe,Sysmä/Nuoramoinen-Nissintie 1 (PH) 
       V 6202   0.200 KP24GQ     YleX,Raahe - Brahestad/Mestauskallio-Valtatie (PP) 
 91.90 H 6202  60.000 KP20HE     YleX,Espoo - Esbo/Saunalahti-Tillinmäki (UU) 
       H 6202  60.000 KP45EH     YleX,Taivalkoski/Metsäkylä-Metsäkyläntie 361 (PP) 
