 97.10 M 63C1   1.000 JN92QM     Radio Crne Gore 1,Podgorica/Potoci (Mrke) (PG) 
       H 61D4   0.500 JN92JG     Drugacija Radio Stanica (D.R.S.),Budva/Spas (BD) 
                      JN92NW     Radio Niksic,Pjesivac/Savnik (c)
 97.20 M        3.000 JN92XO     Radio Crne Gore 2 - Radio 98,Plav (PL) 
         noPI         JN93VA     Radio Laki,Bijelo Polje/Obrov (BP) 
 97.30 M 63C1   3.000 JN91PX     Radio Crne Gore 1,Ulcinj/Mozura (UL) 
       M        0.300 JN92LJ     Elmag Radio,Cetinje (CT) 
 97.40   FAFA         JN92JK     Radio Dux,Kotor/Vrmac (KO) 
                      JN92PL     ,Podgorica/Sjenica (PG) (c)
 97.50 M        0.300 JN92PK     ,Podgorica/Vrela Ribnicka (PG) (c)
 97.60 H        1.000 JN92RS     Radio Crne Gore 2 - Radio 98,Kolasin/Moraca-Crkvine (KL) (i)
       H noPI   0.300 JN92SU     Radio Laki,Kolasin/Bablja greda (KL) 
       M D27D   0.300 JN93QI     Srpski Radio,Pljevlja/Tvrdas (PV) 
       V 3033   0.300 JN92NC     TDI Radio,Bar/Volujica (BR) 
 97.90   6214         JN93WA     Radio Svetigora,Bijelo Polje/Kurilo BP (BP) 
 98.00 H 63C5  60.000 JN92JJ     Radio Crne Gore 2 - Radio 98,Lovcen/Stirovnik (CT) 
 98.20 H        0.300 JN92WU     ,Berane/Jejevica (BA) (p)
         3417         JN92WU     Radio Fatih,Berane/Jejevica (BA) 
 98.30 M 63C5   3.000 JN93QI     Radio Crne Gore 2 - Radio 98,Pljevlja/Tvrdas (PV) 
 98.50 V        0.300 JN92SW     ,Mojkovac/Katunicko Brdo (MK) (c)
 98.70 H 20FE   0.590 JN92JG     Radio Budva,Budva/Spas (BD) 
       H        0.250 KN02CU     Jupok Radio,Rozaje/Bandzovo brdo (RO) 
 98.80 V D451   0.300 JN93VA     Radio D Plus,Bijelo Polje/Obrov (BP) 
 98.90 M        9.000 JN92MT     Radio Crne Gore 2 - Radio 98,Niksic/Tovic-Sudina Glava (NK) 
 99.00 H        1.000 JN91PX     Elmag Radio,Ulcinj/Mozura (UL) (i)
       H FFFF   0.500 JN92JK     Radio Kotor,Kotor/Vrmac (KO) 
                      JN92PL     Studentski Radio Krs,Podgorica/Sjenica (PG) 
 99.30 H       60.000 JN92UU     Radio Crne Gore 2 - Radio 98,Bjelasica/Zekova glava (BA) 
 99.40 M        3.000 JN92LJ     Radio Star FM,Cetinje (CT) 
       M 3033   0.300 JN92JG     TDI Radio,Budva/Spas (BD) 
 99.70 V 620D   1.200 JN92PL     Radio S1-CG,Podgorica/Sjenica (PG) 
 99.80 H 63C1   3.000 JN92MD     Radio Crne Gore 1,Bar/Velji Grad (BR) 
                      JN92WU     Srpski Radio,Berane/Jejevica (BA) 
 99.90 V        1.000 JN93ME     ,Zabljak/Durmitor-Stuoc (ZB) (c)
       V        0.300 JN92XO     ,Plav (PL) (c)
         620D         JN93ME     Radio S1-CG,Zabljak/Durmitor-Stuoc (ZB) 
100.00 H        0.500 JN92MQ     Radio Niksic,Niksic/Ostrog (NK) 
         D450         JN92HJ     Radio D,Tivat/Lustica (TV) 
100.30                JN93WA     Srpski Radio,Bijelo Polje/Kurilo BP (BP) 
100.40 H D2DE   3.000 JN92LJ     Play Radio ,Cetinje (CT) 
       V 620D   1.000 JN93KE     Radio S1-CG,Pluzine/Unac (PE) 
       V 30FE   0.300 KN02AU     Antena M,Rozaje/Kacuber (RO) (i)
100.50 M 30FE   0.300 JN92JG     Antena M,Budva/Spas (BD) 
100.60 H 620D   1.000 JN91PX     Radio S1-CG,Ulcinj/Mozura (UL) 
       M        0.300 JN92PL     Radio Homer,Podgorica/Sjenica (PG) 
100.70 V D2DE   1.000 JN93ND     Play Radio ,Zabljak/Pitomine (ZB) 
       H D2DE   1.000 JN92XO     Play Radio ,Plav (PL) 
100.80 V        1.000 JN92GK     ,Herceg Novi/Zvinje (HN) (p)
         FAFA         JN92HJ     Radio Dux,Tivat/Lustica (TV) 
100.90 H D451   1.000 JN92WU     Radio D Plus,Berane/Jejevica (BA) 
101.10          0.013 JN93VA     Radio Bijelo Polje,Bijelo Polje (BP) 
                      JN92PL     Radio Titograd,Podgorica/Sjenica (PG) 
