 94.80 H              LM21DX     Radio Al-Maarif,Najaf (NAJ) 
 95.00                           PUK Voice of Freedom,unknown 
                      LM23HS     Radio Diyala,Baqubah (DIY) 
                      LM23EH     Sawt Al-Khaleej FM,Baghdad  (BGH) 
 95.10                           DGK Radio,Sulaymaniyah 
 95.30                LM22VN     Imam Hussain FM,Al-Kut (ITU: Kut) (WAS) 
                      LM22AO     Radio Al-Kafeel,Karbala (KAB) 
                                 Radio Al-Kafeel,Dhi Qar (DQR) 
 95.50          3.000 LM16PK     ,Mosul area (NNW) (c)
                      LM30WM     AlHAYAT IRAQ,Al Basrah (BSR) 
                      LM25RN     DGK Radio,Sulaimaniyah (SUL) 
                      LM13PK     Radio Sawt Alshabab - Ramadi,Ramadi (ANB) 
                      LM25EL     unid,Kirkuk (KRK) 
 95.60                LM21PH     Radio Sawa,As Samawah (MUT) 
                      LM16NH     ,Mosul=Mûsil (NNW) (c)
 95.70                LM26AE     Radio Dijla,Arbil=Erbil=Hewlêr (ARB) 
                      LM23EH     Radio One Iraq,Baghdad  (BGH) 
 95.80                LM22FL     Radio Hillah,Hillah (BBL) 
 95.90                LM30WM     Radio Al Nakheel FM,Al Basrah (BSR) 
 96.00 V        1.000 LM16NH     BBC Salhuddin,Mosul=Mûsil (NNW) 
                      LM30WM     Radio of the Republic of Iraq,Al Basrah (BSR) 
                      LM14TN     Radio Sawa,Tikrit (ITU: Tekret) (SAD) 
 96.10 H        5.000 LM23EH     Radio al Mahaba - Baghdad,Baghdad  (BGH) 
       H              LM21DX     Al-Ghadeer Radio,Najaf (NAJ) 
       H              LM26AE     BBC WS Arabic,Arbil=Erbil=Hewlêr (ARB) 
 96.30                           Guven Radio,unknown North Iraq 
 96.40                LM25JG     Radio Nawa,Qaladiz (SUL) 
                      LM25EL     unid, tent. BBC ?,Kirkuk (KRK) 
 96.50 H        5.000 LM23EH     Radio al Nass - Baghdad,Baghdad  (BGH) 
                      LM30WM     Radio Dijla,Al Basrah (BSR) 
 96.70                LM25RN     Dwarozh Radio,Sulaimaniyah (SUL) 
                      LM26AE     Nalia FM,Arbil=Erbil=Hewlêr (ARB) 
 96.80 H              LM25EL     Radio of the Republic of Iraq,Kirkuk (KRK) 
 96.90 H              LM23EH     BBC Worldservice,Baghdad  (BGH) 
 97.10                LM26AE     New Life Radio,Irbil (ARB) 
                      LM23EH     Radio Baghdad FM,Baghdad  (BGH) 
                                 Radio Ministry of the Interior,Dhi Qar (DQR) 
                      LM27CE     Radio Nawa,Sara (ARB) 
                      LM25TH     Radio Nawa,Sharazoor (SUL) 
 97.20                LM25EL     unid,Kirkuk (KRK) 
 97.30                LM23EH     Al-Hamd Radio - Baghdad,Baghdad  (BGH) 
                      LM22LA     Radio Al-Kafeel,Ad Diwaniyah (QAD) 
 97.40 V        1.000 LM16NH     Radio Al-Rasheed,Mosul=Mûsil (NNW) 
                                 ,unknown (c)
 97.50 V 1010         LM25XO     Radio Nawa Kurdish,Penjwin (SUL) 
 97.70                           Al-Merbad Radio,Muthanna=As Samawah (MUT) 
       H              LM23EH     Radio Al Hurriya - Baghdad,Baghdad  (BGH) 
                      LM26AE     Radio Ankawa,Arbil=Erbil=Hewlêr (ARB) 
                      LM30WM     Radio Ministry of the Interior,Al Basrah (BSR) 
                                 ,unknown (c)
 97.90                LM22AO     Alnour Radio,Karbala (KAB) 
                      LM25EL     Radio Zain,Kirkuk (KRK) 
                      LM30WM     Ur FM Radio,Al Basrah (BSR) 
 98.00                LM23EH     Radio Al-Kafeel,Baghdad  (BGH) 
 98.10          0.100 LM26AE     Erbil FM 98.1,Arbil=Erbil=Hewlêr (ARB) 
                      LM23EH     Erbil FM,Baghdad  (BGH) 
                      LM22AO     Sada Al Tafuf,Karbala (KAB) 
 98.30 V        0.010 LM31OU     Radio Al-Kafeel,Al-Amarah (ITU: Amara) (MYS) 
                      LM23EH     Radio of the Republic of Iraq,Baghdad  (BGH) 
 98.50                LM04LJ     Radio of the Republic of Iraq,Al-Qa'im (ANB) 
 98.70 V        1.000 LM26AE     Rojava FM,Arbil=Erbil=Hewlêr (ARB) 
                      LM22FL     Radio Ministry of the Interior,Hillah (BBL) 
                      LM30WM     Sawt Al-Khaleej FM,Al Basrah (BSR) 
 98.80          1.000 LM25EL     Radio Sawa,Kirkuk (KRK) 
 98.90 H              LM23EH     Ur FM Radio,Baghdad  (BGH) 
                      LM13PK     Ur FM Radio,Ramadi (ANB) 
 99.00                LM14ED     Radio Iraqia,Haditha (ANB) 
                      KM93WJ     Radio of the Republic of Iraq,Ar Rutbah (ANB) 
 99.10 H        0.300 LM22AO     Radio Karbala,Karbala (KAB) 
 99.30 H        3.000 LM23HS     IRTN FM,Baqubah (DIY) 
       V        1.000 LM26AE     Babylon FM,Arbil=Erbil=Hewlêr (ARB) 
                                 Al-Merbad Radio,Wasit 
                      LM23EH     Eridu FM - Baghdad,Baghdad  (BGH) 
                      LM25DL     Nalia FM,Kirkuk (KRK) 
                                 Radio Al Awfiaa,Maysan (MYS) 
                      LM16NH     ,West of Mosul (NNW) (c)
 99.50 H        1.000 LM16MU     Vin FM,Dohuk (DAH) 
                      LM24MB     Radio Ministry of the Interior,Diyala (DIY) 
                      LM25FL     Radio Nas FM,Kirkuk (KRK) 
                      LM22LA     Radio Sada Nass - Diwaniyah,Ad Diwaniyah (QAD) 
 99.60                LM23EH     Radio Al Albab - Baghdad,Baghdad  (BGH) 
 99.70                           Kurdistan 24 
 99.90          5.000 LM23EH     Sumer FM,Baghdad  (BGH) 
       V        1.000 LM16NH     One FM,Mosul=Mûsil (NNW) 
       V        1.000 LM25EL     Radio Nawxo,Kirkuk (KRK) 
                      LM13VI     Radio of the Republic of Iraq,Fallujah (ANB) 
       H              LM25PN     Sumer FM,Sulaimaniyah (SUL) 
       H              LM16MU     Sumer FM,Dohuk (DAH) 
100.00 H        2.000 LM31DA     BBC WS Arabic,An Nasiriyah (DQR) 
100.10 H        1.000 LM14TN     ,Tikrit (ITU: Tekret) (SAD) (c)
       H        0.200 LM30BW     ,Tallil/Air Base (DQR) (c)
       H        0.200 LM25EL     ,Kirkuk (KRK) (c)
                      LM14TN     Al Ghad Radio/Tikrit,Tikrit (ITU: Tekret) (SAD) 
100.30                LM21DX     Almawqef FM,Najaf (NAJ) 
100.40                LM30WM     ,Al Basrah (BSR) (c)
100.50         10.000 LM23EH     Radio Sawa,Baghdad  (BGH) 
                1.000 LM22FL     Radio Sawa,Hillah (BBL) 
                1.000 LM16MU     Zagros Radio,Dohuk (DAH) 
                1.000 LM25PN     Zagros Radio,Sulaimaniyah (SUL) 
