 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.04                           LZ0SIX,Sofia KN12QP 
         837F   0.100 KN22AU     Radio Focus,Etropole (SOF) 
       H 8383   0.100 KN33GE     Radio Veselina,Targoviste/h. Mladost-RTS Kodzakuz (TGV) 
 90.50 V 8381   1.000 KN32RM     Radio 1,Burgas/k-s Slaveykov-blok 50 (BUR) 
       V 8073   0.330 KN23XU     Radio Shlager,Ruse/Izcislitelen tsentar (RUS) 
       V 8384   0.245 KN21QP     Radio Fresh!,Kardzali/RRS Ivantsi [NURTS Kardzali] (KZL) 
         8384   0.100 KN12SI     Radio Fresh!,Samokov/ulitse Tsar Boris III 18 (SOF) 
 90.60 V 838B   0.897 KN13IP     Radio Energy,Belogradcik/RRTS Karneva livada [NURTS Belogradchik] (VDN) 
         8220   0.500 KN13QB     BNR Hristo Botev,Lakatnik (SOF) 
       V 838B   0.500 KN22ID     Radio Energy,Plovdiv/Dzhendem tepe (PLD) 
       V 837E   0.500 KN33WD     Radio N-Joy,Varna/RPS Borovets-Gyundyuz (VRN) 
         824D   0.300 KN11QU     Darik Radio,Razlog/NURTS Razlog (BLG) 
         8383   0.300 KN23AA     Radio Veselina,Yablanitsa/RRTS Yablanitsa (LOV) 
         8389   0.300 KN23LA     Radio Vitosha,Sevlievo/NURTS Sevlievo (GBV) 
 90.80   8210   1.000 KN32GS     BNR Horizont,Gradets (SLI) (p)
         8220   1.000 KN32WC     BNR Hristo Botev,Tsarevo/Papia [NURTS Ahtopol] (BUR) 
       V 838B   0.630 KN22TL     Radio Energy,Stara Zagora/NURTS Stara Zagora (STZ) 
       V 838F   0.460 KN33KG     Bulgaria On Air,Shumen/RRS 1 [NURTS Shumen] (SHM) 
         838B   0.080 KN12VK     Radio Energy,Ihtiman/kv. Stipon (SOF) 
 90.90 V 8231   3.162 KN12TC     BNR Radio Blagoevgrad,Yakoruda/RRTS Trestenik (BLG) 
       V 8389   2.000 KN21JN     Radio Vitosha,Smoljan/TVRTS Petrovitsa [NURTS Smoljan] (SMO) 
       V 838F   0.300 KN23ID     Bulgaria On Air,Lovech/RRTS Stratesh (LOV) 
       H 838F   0.150 KN23UC     Bulgaria On Air,Veliko Tarnovo/RRTS Arbanasi (VLT) 
 91.00 V 824D  10.000 KN13IP     Darik Radio,Belogradcik/RRTS Karneva livada [NURTS Belogradchik] (VDN) 
       V 8092   1.000 KN12QQ     Radio Antena,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
 91.10 V 8091   3.000 KN32QL     Power FM,Burgas/kv. Meden Rudnik-Mestnost Shiloto [Deva broadcast] (BUR) 
       V 838C   0.617 KN22ID     Radio City,Plovdiv/Dzhendem tepe (PLD) 
 91.20 V 838B   3.000 KN33XF     Radio Energy,Varna/NURTS Varna (VRN) 
       V 8383   0.500 KN23HJ     Radio Veselina,Pleven/kv. Druzba-RRTS Pleven (PLV) 
       H 8383   0.200 KN32IK     Radio Veselina,Yambol/RRS Bakadzik [NURTS Yambol] (YAM) 
 91.30 V 838D   3.000 KN32TS     Nova News,Nesebar/Slancev brig-RRTS Edelvajs (BUR) 
