       V 5355   0.500 JN99LB     Radio Best FM,Martin/nam. Jozefa Cigera Hronskeho 1 (SNK) (ZA) (p)
       H 5354   0.500 JN99TI     Radio Jemne,Trstena/Pribojec (ZA) 
       V        0.500 JN99PB     ,Ruzomberok/Nad Kalvariou (ZA) (c)
       V 5345   0.250 JN88WS     Radio Antena Rock,Nove Mesto nad Vahom/budova Emerson (TN) 
 92.50 V 5354   0.250 JN98HJ     Radio Jemne,Nova Bana/Brehy (TVp) (BB) 
 92.60 V 521D   1.000 JN98NO     Radio Expres,Zvolen/Mala Straz (BB) 
       V 5330   0.500 KN09HB     Radio Kosice,Levoca/Úloza (PO) 
       V        0.100 JN88ND     ,Bratislava/Krasovskeho 3742/13 (BA) (c)
 92.70 C 5218   0.800 JN99KF     Radio Vlna,Zilina/Stranik (ZA) 
       V 521D   0.300 JN97CX     Radio Expres,Nove Zamky/Komin Elektrosvitu (NR) 
       V 521D   0.100 JN88US     Radio Expres,Stara Tura (TN) 
 92.80 V 5218   1.000 JN99PC     Radio Vlna,Ruzomberok/Mnich - TVP (ZA) 
       H 5566   0.500 JN98AV     Radio Muzika,Trencin/Vajanskeho ul. 6 - OC Laugaricio (TN) 
       V 521D   0.251 JN98MI     Radio Expres,Krupina/ul. Hviezdoslavova (vodaren) (BB) 
 92.90 V 5218   0.500 JN98HS     Radio Vlna,Prievidza - Silo (TN) 
       H 5343   0.200 KN09PB     Radio Lumen,Presov/Straz (PO) 
       V 5343   0.200 KN09EF     Radio Lumen,Lendak/vodarna (PO) 
       V        0.150 KN08AI     ,Rimavska Sobota/Rimavske Janovce (MMDS) (BB) (c)
       V 521D   0.100 JN98QM     Radio Expres,Detva/Krne (BB) 
 93.00 V 5355   0.251 KN08UO     Radio Best FM,Trebisov/ul. B.Nemcovej 2477/4 (KE) 
       V 521D   0.250 JN98ST     Radio Expres,Brezno/Chvatimech (BB) 
       V 5355   0.200 JN88SI     Radio Best FM,Trnava/Coburgova 84 (komin TAZ) (TT) 
 93.10 V 521D   0.500 JN99KB     Radio Expres,Martin/Bystricka-Krasna (ZA) 
       V 521D   0.200 JN99NG     Radio Expres,Terchova/Biely potok-Rovna hora (ZA) 
       V        0.151 KN08WW     ,Humenne (PO) (c)
 93.20 V        0.500 KN09DB     ,Poprad/Onyx business center (PO) (c)
       V 5343   0.300 KN18CX     Radio Lumen,Snina/Magurica (PO) 
       V 5340   0.100 KN08DJ     Fun Radio,Tornala/Skultetyho 5 (BB) 
 93.30 H 5343  10.000 JN99AA     Radio Lumen,Trencin/Nad Oborou (TN) 
       H 5343   1.000 JN98KJ     Radio Lumen,Banska Stiavnica/Sitno (BB) 
       V 5074   0.050 JN88ND     Radio Viva,Bratislava/Ruzinov, Bajkalska (FBC I) (BA) 
 93.40 V        0.150 JN88SI     ,Trnava/Coburgova 84 (komin TAZ) (TT) (c)
 93.50 H 5201  10.000 KN09PI     SRo 1 Radio Slovensko,Bardejov/Stebnicka Magura (PO) 
       V 534F   0.500 JN99LD     Europa 2,Martin/Klacianska Magura (chata) (ZA) 
       V 5343   0.500 JN97IS     Radio Lumen,Sturovo/Jesenskeho 68 (NR) 
       V        0.500 JN98TI     ,Lucenec/Vidina-Exnarova ul. (BB) (c)
 93.60 C 534F   1.000 JN99RC     Europa 2,Ruzomberok/Úlozisko (ZA) 
       H 521D   0.100 JN98OU     Radio Expres,Donovaly/Zahradiste-Banik (BB) 
       V 5565   0.050 JN98BH     Radio WOW,Nitra/ul. Hviezdna 1404/2 (NR) 
 93.70 V 521D   0.500 KN08HV     Radio Expres,Spisska Nova Ves/Teplicka (KE) 
       V 5343   0.251 JN88VR     Radio Lumen,Nove Mesto nad Vahom/Cachtice (TN) 
 93.80 H 5343   5.600 JN88NE     Radio Lumen,Bratislava/Kamzik (BA) 
       V 5355   1.226 KN08PR     Radio Best FM,Kosice/Heringes II. (KE) 
       H 5354   0.200 KN08AJ     Radio Jemne,Rimavska Sobota/ul. Veterna 37 (BB) 
 93.90 H 50B1   1.000 JN98HP     Radio Beta,Prievidza/Kuni vrch (TN) 
       H        0.500 KN08WS     Radio Sirava,Michalovce/ul. Okruzna 64 (KE) 
 94.00 H 5355   0.424 KN09OA     Radio Best FM,Presov/Sibena hora II. (PO) 
       V 5340   0.100 JN98BH     Fun Radio,Nitra/ul. Hviezdna 1404/2 (NR) 
 94.20 H 521B  30.000 KN08BV     SRo 3 Radio Devin,Poprad/Kralova hola (BB) 
 94.30 H 5340 100.000 JN88NE     Fun Radio,Bratislava/Kamzik (BA) 
 94.40 H 5343   0.250 KN08PR     Radio Lumen,Kosice/Heringes II. (KE) 
       V 5D60   0.250 KN09SH     SRo 2 Radio Regina,Svidnik/Hrabniky - TVP (PO) 
