                                 Minhaj Fm,Ubari (WDH) 
                                 Radio Alshooq FM,Tarabulus=Tripoli (TBL) 
 99.90   FFFF         JM62OU     Al-Eman Radio,Tarabulus=Tripoli (TBL) 
                      KM00CS     Future FM,Ajdabiya (WAH) 
                                 Radio Awjilah FM,Awjila (WAH) 
         0000         JM72MJ     Radio Misrata FM,Misratah (MIS) 
                      JM81HB     Sirt Cultural Radio,Sirte=Sirt=Surt (SRT) 
100.00                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
100.10   F000   1.000 KM02BC     Libyana Hits,Benghazi (BGA) 
                      KM02VS     Radio Sout Libya FM,Al-Bayda'=El-Beida (JAK) 
100.30 M 5000  10.000 JM62OU     Tareeq al-Salaf Radio,Tarabulus=Tripoli (TBL) 
100.50   FFFF   5.000 JM62IR     Radio Ahel Alhadekh wal Alakhaer,Az Zawiya— (ZAW) 
                                 Radio Assaraya,unknown (-) (c)
100.70                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
                                 Radio Zone Libya,Tarabulus=Tripoli (TBL) 
101.10                JL77GA     Radio Ramadan FM,Sabha (SBH) 
                      KM01CC     Radio Shabab Libya,Sultan (WAH) 
                      JM72MJ     unid,Misratah (MIS) 
         D305         JM62OU     Waad FM,Tarabulus=Tripoli (TBL) 
101.30 M D200   1.000 JM62IR     Az Zawiya— Local Radio,Az Zawiya— (ZAW) 
101.50 H        1.000 KM02BC     Radio Shabab Benghazi,Benghazi (BGA) 
101.60                           wazin FM,Wazin (NLT) 
101.70          0.300 JM62OU     Radio University Voice,Tarabulus=Tripoli/University of Tripoli (TBL) 
101.90                JM62MT     Radio Gharb Tarablus,Janzour (TBL) 
102.10                JM62OU     Al Tanasuh,Tarabulus=Tripoli (TBL) 
102.30 V FFFF   5.000 KM02BC     Radio ML,Benghazi (BGA) 
                      KL09SA     Radio Jalu,Jalu (WAH) 
                      JM51LU     Radio Nalut Al Istiqama,Nalut (NLT) 
102.50   FFFF   5.000 JM62OU     Tripoli FM,Tarabulus=Tripoli (TBL) 
                      KM12WB     Radio Neydaa Al Emaan,Tobruk=Tubruq (BUT) 
102.90 V 1301   5.000 JM62OU     Al Ryadia,Tarabulus/Zanatah (TBL) 
103.00                KM01CC     Ajdabiya Local Radio,Sultan (WAH) 
103.40                JM62OU     Sawt Tarabulus,Tarabulus=Tripoli (TBL) 
103.50   0000   5.000 JM72GL     Zliten FM,Zliten (MQB) 
103.70                JM62BW     Radio Zuwara Al Quran Al Kareem,Zuwara (NQK) 
104.00          5.000 JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
       H                         unid,tx at eastern coast 
       H                         unid,tx at western coast 
104.10                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
104.30                           unid,unknown (-) 
104.50 V FFFF   5.000 JM62OU     Nass FM,Tarabulus=Tripoli (TBL) 
104.60                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
104.80                JM62FS     Sabratah FM,Sabratah (ZAW) 
105.00                JM72MJ     unid,Misratah (MIS) 
105.10                           Al Ajailat Local Radio,Ajaylat=El-Agelat (NQK) 
                      KM02US     Al-Bayda Radio Quran,Al-Bayda'=El-Beida (JAK) 
         D211         JM62ES     Al-Niqat Alkhams Radio,Al-Ujilat=Al Ejeylat (NQK) 
105.30          9.000 JM72MJ     Al Aan FM,Misratah (MIS) 
                5.500 KM01CC     Al Aan FM,Sultan (WAH) 
                2.000 JM51LU     Al Aan FM,Nalut (NLT) 
                2.000 JM62OU     Al Aan FM,Tarabulus=Tripoli (TBL) 
                2.000 JL77GA     Al Aan FM,Sabha (SBH) 
                2.000 KM02US     Al Aan FM,Al-Bayda'=El-Beida (JAK) 
                      KM12WB     Al Aan FM,Tobruk=Tubruq (BUT) 
                      KM02KM     Al Aan FM,Al Marj (MRJ) 
                      KM12AS     Al Aan FM,Labraq (DRN) 
                      KM02XV     Al Aan FM,Susah (JAK) 
105.50                KM02BC     Monte Carlo Doualiya,Benghazi (BGA) 
                      JM71AS     Radio Ades,Bani Walid (MIS) 
                      KM12WB     Radio Tubruq al-Hurra,Tobruk=Tubruq (BUT) 
                      JM62LC     unid Quran,Gharyan=Gharian (JGH) 
105.70                JM72GL     Radio Nour Aleman,Zliten (MQB) 
                      JM62MM     Radio West Zawiyah,Al-Aziziyah (Al-'Aziziyah) (JIF) 
105.90 V        1.000            Radio Power Fm,unknown 
106.00 V              JM72NI     'Iidhaeat Aljamieat=University Radio,Misratah/Misurata University (MIS) 
         5000         JM62QU     unid,east of Tripoli (TBL) (c)
106.10   D0FF   5.000 JM62IR     Radio Al Watan FM,Az Zawiya— (ZAW) 
106.30 V D301  10.000 JM62GB     Radio Awal,Yafran (JGH) 
106.50 V       10.000 KM02BC     Radio Zain FM,Benghazi (BGA) 
       V        1.000 JM72MJ     Ahbab Al-Rahman,Misratah (MIS) 
106.70          1.000 JM62OU     Radio Sawa,Tarabulus=Tripoli (TBL) 
106.90                JM72MJ     Libya Al-Watan TV audio,Misratah (MIS) 
107.00 H       10.000 JM62OV     Al-Quran al-Kareem Radio,Tarabulus/Al Dahra (TBL) 
107.20                JM62OQ     Radio Assaraya,unknown (TBL) (c)
107.30 M       10.000 KM01HD     unid,Antalat (BGA) 
         FFFF   5.000 JM62OU     Tadamon FM,Tarabulus=Tripoli (TBL) 
107.70 V FFFF   5.000 JM62OV     Radio Al-Jawhara FM,Tarabulus/Suq al-Juma'a (TBL) 
         0000   2.000 KM02BC     Ajwa FM,Benghazi (BGA) 
                      JM71AS     ZAYTONA FM,Bani Walid (MIS) 
107.90 V D209   5.000 JM62GB     Alqlaa FM,Al Qalaa (JGH) 
