103.40 V noPI  10.000 KM65NH     Kibris FM,Lefkosa/Selvilitepe (KIB-GIR) 
         22D9         KM64NS     Super FM,Armenochori (KYP-LEM) 
         22D9         KM75AA     Super FM,Paralimni/Mt.Phanos (KYP-FAM) 
103.60   noPI         KM65WJ     Disc FM,Kantara/Sinan Dagi (KIB-MAG) 
103.70   2266   0.300 KM64EX     ANT1 Radio,Drouseia=Dhrousha (KYP-PAP) 
         2266         KM64MS     ANT1 Radio,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         2266         KM75AA     ANT1 Radio,Paralimni/Mt.Phanos (KYP-FAM) 
104.00   2230         KM64FT     Super Sport FM,Paphos/Tsada (KYP-PAP) 
         2230         KM64OV     Super Sport FM,Vavatsinia (KYP-LAR) 
104.10                           ,unknown (c)
104.20                           ,unknown (c)
104.30   20C8         KM64MS     Choice FM 104,3,Lemesos(Limassol) / Fasoula (KYP-LEM) 
                      KM65QE     Radio Epistrofi,Nicosia (KYP-NIC) 
         2229         KM65WJ     Radyo Vatan,Kantara/Sinan Dagi (KIB-MAG) 
104.50   5158   5.000 KM65NH     Radyo Vatan Türkü,Lefkosa/Selvilitepe (KIB-GIR) 
         1045         KM64MS     NRJ Energy Radio Cyprus,Lemesos(Limassol) / Fasoula (KYP-LEM) 
104.60   1023         KM75AA     Mix FM,Paralimni/Mt.Phanos (KYP-FAM) 
104.80   22D9         KM64KW     Super FM,Mount Olympos (KYP-LEM) 
105.00 V 2287  10.000 KM65NH     Bayrak International,Lefkosa/Selvilitepe BRT (KIB-GIR) 
         2215   2.000 KM64NS     CyBC-RIK Proto Prog.,Armenochori (KYP-LEM) 
         2215   0.300 KM64EX     CyBC-RIK Proto Prog.,Drouseia=Dhrousha (KYP-PAP) 
105.30   68A1         KM64FT     Astra 92.8 FM,Paphos/Tsada (KYP-PAP) 
         68A1         KM64OV     Astra 92.8 FM,Vavatsinia (KYP-LAR) 
105.50   2296         KM64OV     Klik FM,Vavatsinia (KYP-LAR) 
105.60   noPI   0.500 KM64FT     Radio Pyrgos (Kato Pyrgos),Paphos/Tsada (KYP-PAP) 
105.70   2209         KM75AA     Love FM,Paralimni/Mt.Phanos (KYP-FAM) 
         2257         KM64MS     Russkaja Wolna=Russian Wave,Lemesos(Limassol) / Fasoula (KYP-LEM) 
106.00   22F2         KM64FT     Kanali Exi,Paphos/Tsada (KYP-PAP) 
         22F2         KM64OV     Kanali Exi,Vavatsinia (KYP-LAR) 
106.20   1062         KM65NH     NRG Türk Slow,Lefkosa/Selvilitepe (KIB-GIR) 
106.30          0.750 KM74AX     NRJ Energy Radio Cyprus,Agia Napa (KYP-FAM) 
106.40   noPI   0.117 KM64EX     Radio Sfera Kyprou,Drouseia=Dhrousha (KYP-PAP) 
         2968         KM64MS     Radio Sfera Kyprou,Lemesos(Limassol) / Fasoula (KYP-LEM) 
                      KM65QE     Radio Sfera Kyprou,Nicosia (KYP-NIC) 
106.50   noPI   2.000 KM65WJ     Radyo DAÜ-Radio EMU,Kantara/Sinan Dagi (KIB-MAG) 
106.70   2203   2.000 KM64NS     CyBC-RIK Trito Prog.,Armenochori (KYP-LEM) 
         2000   0.130 KM64EX     Rock FM,Drouseia=Dhrousha (KYP-PAP) 
         22FD         KM64KW     Dromos FM,Mount Olympos (KYP-LEM) 
         20FF         KM75AA     Politeia FM,Paralimni/Mt.Phanos (KYP-FAM) 
106.80   329D         KM65WJ     Erkam Radyo,Kantara/Sinan Dagi (KIB-MAG) 
106.90   22F2         KM64IP     Kanali Exi,Pissouri (KYP-LEM) 
                      KM65NH     Kral FM,Lefkosa/Selvilitepe (KIB-GIR) 
107.00   22F2   0.235 KM64EX     Kanali Exi,Drouseia=Dhrousha (KYP-PAP) 
         22F2         KM75AA     Kanali Exi,Paralimni/Mt.Phanos (KYP-FAM) 
107.10   2811         KM65NH     Capital Türk,Lefkosa/Selvilitepe (KIB-GIR) 
107.20          0.800 KM65NH     ,Lefkosa/Selvilitepe (KIB-GIR) (c)
107.30   FE01         KM65WB     BFBS Cyprus,Agios Nikolaos (KYP-FAM) 
                      KM65QE     ,Nicosia (KYP-NIC) (c)
                      KM65QE     ,Nicosia (KYP-NIC) (c)
107.40   2074         KM64OV     Active Radio,Vavatsinia (KYP-LAR) 
                      KM65WH     Disc FM,0skele (KIB-MAG) 
107.60   2276         KM64FT     Politis 107.6,Paphos/Tsada (KYP-PAP) 
         2276         KM64LW     Politis 107.6,Madari (KYP-LEM) 
107.80   3008         KM65NH     Radyo Havadis,Lefkosa/Selvilitepe (KIB-GIR) 
107.90                KM64MP     Radio Apostolos Andreas,Limassol area (KYP-LEM) 
         2968         KM75AA     Radio Sfera Kyprou,Paralimni/Mt.Phanos (KYP-FAM) 
108.00   9910         KM65NH     NRG Radio,Lefkosa/Selvilitepe (KIB-GIR) 
