 93.10 H 4202   0.100 KN01LK     Makedonsko Radio 2 (Vtora prog.),Kicevo/Cocon (SW) 
         D220         KN02UD     Metropolis Radio Network,Kumanovo/Stari Lozja (NE) 
 93.30 H 4201  10.000 KN01HC     Makedonsko Radio 1 - Radio Skopje,Mali Vlaj (SW) 
       H 4201   5.000 KN11ET     Makedonsko Radio 1 - Radio Skopje,Stip/Turtel (EA) 
       V        0.500 KN01JH     ,Debarca (SW) (p)
       H 4201   0.050 KN01UG     Makedonsko Radio 1 - Radio Skopje,Dunje (PE) 
         4201         KN01JL     Makedonsko Radio 1 - Radio Skopje,Dusegubica (SW) 
                      KN01NR     Makedonsko Radio 2 (Vtora prog.),Fojnik (SW) 
 93.40   D220         KN01MC     Metropolis Radio Network,Resen/Sopotsko-Meckina Jama (PE) 
 93.60   EFD7         KN11ED     Time FM,Huma (SE) 
 93.70 V 4201   0.100 KN01PI     Makedonsko Radio 1 - Radio Skopje,Krusevo (PE) 
                      KN01MJ     Makedonsko Radio 1 - Radio Skopje,Vitoliste (PE) 
 93.80 H 4202   1.000 KN01LK     Makedonsko Radio 2 (Vtora prog.),Kicevo/Cocon (SW) 
 93.90 H 4221   0.100 KN01QA     Radio Antenna 5,Bitola/Pirava (PE) 
 94.00 H 4203   0.100 KN01JR     Makedonsko Radio 3 (Treta prog.),Mavrovo/Vlajnica (PO) 
 94.10 H 4202   5.000 KN01UU     Makedonsko Radio 2 (Vtora prog.),Veles/Crn Vrv (VA) 
 94.30 H 4202   0.050 KN01IM     Makedonsko Radio 2 (Vtora prog.),Lazaropole (PO) 
       H 4201         KN11GH     Makedonsko Radio 1 - Radio Skopje,Pirava (SE) 
                      KN01KT     Radio Rumeli FM,Gostivar (PO) 
 94.40                           Energy Radio Struga,Visni (SW) 
         4202         KN11GN     Makedonsko Radio 2 (Vtora prog.),Kalugerica (MRD) (SE) 
                      KN01QA     Radio B-97,Bitola/Tumbe Kafe (PE) 
 94.50 H 4201   5.000 KN11IV     Makedonsko Radio 1 - Radio Skopje,Golak (EA) 
                      KN01KJ     Makedonsko Radio 3 (Treta prog.),Mramorec (SW) 
 94.70   30CC         KN01QX     City Radio,Skopje/Sredno Vodno (SK) 
 94.80 H 4202   5.000 KN12EE     Makedonsko Radio 2 (Vtora prog.),Kriva Palanka (NE) 
         D220   0.250 KN01JE     Metropolis Radio Network,Ohrid/Gorenicka Cuka (SW) 
       H 4201   0.050 KN12CC     Makedonsko Radio 1 - Radio Skopje,Kratovo 2 (NE) 
 94.90 H 4201   1.000 KN01SA     Makedonsko Radio 1 - Radio Skopje,Tepavci (PE) 
       H 4202   1.000 KN11HK     Makedonsko Radio 2 (Vtora prog.),Strumica/Carevi Kuli (SE) 
 95.00   4201         KN01TO     Makedonsko Radio 1 - Radio Skopje,Bogomila/Jakupica (VA) 
                      KN11LS     Radio Antenna 5,Bukovik (EA) 
 95.10 H 4201   0.050 KN01PX     Makedonsko Radio 1 - Radio Skopje,Matka (SK) 
       H 4202   0.050 KN01KP     Makedonsko Radio 2 (Vtora prog.),Tajmiste (SW) 
         4201         KN01NX     Makedonsko Radio 1 - Radio Skopje,Grupcin (PO) 
