       V        2.000 KM08QL     Glenti 89.2,Agrinio/Arakynthos (WGR-AIT) 
       V 1201   1.000 KN20EW     ERA 1 Proto Programma,Kavala/Vasilaki [ERT] (EMC-KAV) 
       V 1079   0.500 KM09EL     En Plo 89.2,Psaka (EPI-THP) 
       V 1079   0.250 KM09CL     En Plo 89.2,Igoumenitsa/Gonia (EPI-THP) 
       V 1892         KM17SS     Music 89,2,Athina/Aegina (ATT-PIR) 
 89.30 H 1203  35.000 KM06WW     ERA 3 Trito Programma,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V A893   0.600 KM15UF     Radio Paleohora,Paleohora (KRT-KHA) 
       V A893   0.300 KM15VK     Radio Paleohora,Hania/Kotsifiana (KRT-KHA) 
 89.40 H 1204  32.000 KN31HI     ERA Sport,Didymoteicho/Pythio [ERT] (EMC-EVR) 
       V 1894  10.000 KM08VG     Skai 89.4,Patra/Aroi (WGR-AKH) 
       V 5449   6.300 KM19EA     Fthiotiki Ekklisiastiki Foni,Lamia-Domokos/Antinitsa (CGR-FTH) 
       V 1894   5.000 KM18DJ     Skai 89.4,Erateini (CGR-FOK) 
       V 1075   5.000 KN10NO     We Radio 89.4,Thessaloniki/Hortiatis (CMC-TSK) 
       V 1894   1.000 KM18BA     Skai 89.4,Kalavrita/Velia (WGR-AKH) 
                      KM37LS     Ionia Plus 89.4,Samos/Thios (Vathi) (NEG-SAM) 
 89.50 V 1044  60.000 KM17VX     Ekklesia tis Ellados (Athens),Athina/Ymittos (ATT) 
       V 8950   5.000 KM19MJ     Sport FM,Volos/Mt. Pilion/Pyrgaki (THE-MAG) 
       V 8950   2.500 KM25MI     Radio Family,Iraklion/Rogdia (KRT-IRA) 
         0805   2.000 KN10AC     NRG 89.5,Kozani/Metaxas (WMC-KOZ) 
       V 10D5   1.100 KN21RE     My FM 89.5,Komotini/Nymfaia (EMC-ROD) 
       V 1044   1.000 KM17SS     Ekklesia tis Ellados (Athens),Athina/Aegina (ATT-PIR) 
       V 0000   1.000 KM25VB     Radio Vereniki,Lasithi/Stavros Kapistri (KRT-LAS) 
         8950         KM25OA     Radio Family,Charakas-Akhendrias (KRT-IRA) 
 89.60   10BD   5.000 KM18SL     Live FM 89.6,Evvoia/Chalkida/Ktypas (CGR-EVV) 
       V 8960   5.000 KM18LA     My Radio 89.6,Korinthos/Ossios Patapios (PEL-KOR) 
       V 1202   3.000 KN11TC     ERA 2 Deutero Programma,Serres/Agios Ioannis-Kagias [ERT] (CMC-SER) 
       V        2.000 KM25BL     Super FM 89.6,Hania/Malaxa (KRT-KHA) 
       V 1089   1.000 KM09KQ     Ioannina Radio Deejay,Ioannina/Ligkiades (EPI-IOA) 
       V 104A   1.000 KM07LS     Radio Bravo 89.6,Zakynthos/Skopos (ION-ZAK) 
       V 1083   1.000 KM17IO     Style 89,6,Argos/Kefalari (PEL-ARG) 
 89.70 V 1065  20.000 KN10NO     Imagine 89,7,Thessaloniki/Hortiatis (CMC-TSK) 
       H 1401   3.000 KM37LS     ERA Diktyo Boreiou Aigaiou,Samos/Thios (Vathi) (NEG-SAM) 
         1064   1.000 KM17FD     Fly FM 89.7,Sparti/Ag. Georgios Voutiani (PEL-LAC) 
       V 1064   0.500 KM16KR     Fly FM 89.7,Sparti/Finiki (PEL-LAC) 
         1064   0.500 KM16LT     Fly FM 89.7,Sparti/Sikea-Koulohera (PEL-LAC) 
 89.80 V C102  40.000 KM17VX     Dromos FM,Athina/Ymittos (ATT) 
       V 1201  32.000 KN31BC     ERA 1 Proto Programma,Lefkimmi [ERT] (EMC-EVR) 
       H       32.000 JM99WR     ERA 3 Trito Programma,Kerkyra/Mt. Pantokratoras [ERT] (ION-KER) 
       V        2.500 KM25FH     Radio Megalonisos,Rethymno/Spathi (KRT-RET) 
       V C102   1.000 KM17SS     Dromos FM,Athina/Aegina (ATT-PIR) 
       V 2103   1.000 KM25NF     Politica 89.8,Iraklion/Yiouktas (KRT-IRA) 
       V 7503   1.000 KM19CN     Radio Stork,Larissa/Dovroutsi (THE-LAR) 
       V        1.000 KN21BD     Super FM,Drama/Korylovos (EMC-DRA) 
         103F         KM36XG     Notos News,Rodos/Profitis Ilias (SEG-DOD) 
 89.90 H 1318  35.000 KM18DJ     ERA Diktyo Peloponnisou - Patra,Erateini [ERT] (CGR-FOK) 
       H 1201   6.000 KM35AE     ERA 1 Proto Programma,Chamezi (KRT-LAS) (i)
       V        1.300 KN21KD     Omorfi Poli FM (Municipal Radio Xanthi),Xanthi/Moni Panagias (EMC-XAN) 
 90.00 H 1202 100.000 KN10NO     ERA 2 Deutero Programma,Thessaloniki/Hortiatis [ERT Tower] (CMC-TSK) 
       V 80FF  12.000 KM18SL     Evripos FM,Evvoia/Chalkida/Ktypas (CGR-EVV) 
       V 9000  10.000 KM08WG     Skylos 90 FM,Patra/Panahaiko (WGR-AKH) 
         9090   0.500 KM39GC     Radio Mitilini,Lesvos-Mitilini/Prof. Ilias (NEG-LES) 
         80FF         KM18NW     Evripos FM,Istiaia (CGR-EVV) 
         9090         KM39DI     Radio Mitilini,Lesvos/Lepetimnos (NEG-LES) 
 90.10 V 2120  40.000 KM17VX     Parapolitika FM,Athina/Ymittos (ATT) 
       H 1204  35.000 KM25BN     ERA Sport,Hania/Skloka (KRT-KHA) 
       V 9010   5.000 KM19CN     Pressing 90.1,Larissa/Dovroutsi (THE-LAR) 
       V        2.000 KM09KQ     Vima FM (Ioannina),Ioannina/Ligkiades (EPI-IOA) 
       V 199A   1.000 KM46CK     Best FM 103.1 (Rodos),Rodos/CAIR (SEG-DOD) 
         2120         KM17SS     Parapolitika FM,Athina/Aegina (ATT-PIR) 
                      KM25TG     Piraiki Ekklesia,Stavros Neapoleos (KRT-LAS) 
 90.20          4.000 KN10FM     Pavlios Logos,Veroia/Kypseli/Sfinitsa (CMC-IMA) 
       V        2.000 KN10DG     Power FM 902,Katerini/Ritini (CMC-PIE) 
