       V 83B5   0.500 JO22JO     Qmusic Non-stop Maximum Hits,Alkmaar/Cellnex Mast (NHO) 
       V 8888   0.100 JO22QD     Low Power FM,Amersfoort/Golden Tulip Berghotel (UTR) (p)
 95.50 V 83D1  30.000 JO22UV     BNR Nieuwsradio,Tjerkgaast/Cellnex Toren (FRI) 
       V 8508   1.000 JO21TK     Radio 10 Brabant,Mierlo/Cellnex Toren (NBR) 
       V 8421   0.400 JO31AX     RADIONL,Duiven/AVR Schoorsteen (GEL) 
       V        0.050 JO22MA     ,IJsselstein/Gerbrandytoren (UTR) (c)
       V 800C   0.040 JO22OJ     Easy FM,Almere/Mandelaplein (FLE) 
 95.60 V 8414   5.000 JO32FF     Radio Oost,Markelo/Cellnex Toren (OVE) 
       V 84EB   2.000 JO22NA     SRC FM,Vianen/De Lafayettestraat (UTR) 
       V 83B5   0.580 JO22EC     Qmusic Non-stop Maximum Hits,Den Haag/Cellnex Toren (ZHO) 
 95.70 V 83B5   5.100 JO22KI     Qmusic Non-stop Maximum Hits,Amsterdam/Cellnex Toren (NHO) 
       V 8421   1.300 JO32CQ     RADIONL,Meppel/Agrifirm Silo (DRE) 
       V 80A1   0.355 JO21HT     Drechtstad FM,Dordrecht/Houtkopersplaats (ZHO) 
       V 83B5   0.200 JO22GB     Qmusic Non-stop Maximum Hits,Zoetermeer/DVB-T (ZHO) (p)
       V 8331   0.150 JO32GA     Radio Continu,Zieuwent/Kevelderstraat (GEL) 
 95.80 V 831C   5.000 JO21TT     Omroep Brabant,Megen/Cellnex Toren (NBR) 
       V 9580   0.200 JO21EV     SCHIE fm,Schiedam/Emmastraat (ZHO) 
 95.90 V 83B5   3.200 JO22HD     Qmusic Non-stop Maximum Hits,Alphen aan den Rijn/Cellnex Toren (ZHO) 
       V 83B5   0.500 JO22JA     Qmusic Non-stop Maximum Hits,Haastrecht/Stroommast (ZHO) (p)
       V 83B5   0.400 JO22OJ     Qmusic Non-stop Maximum Hits,Almere/Mandelaplein (FLE) 
       V 83B5   0.048 JO22NG     Qmusic Non-stop Maximum Hits,Hilversum/Media Park (NHO) 
       V 8202   0.014 JO21FM     NPO Radio 2,Roosendaal/Cellnex Toren (NBR) 
 96.00 V 8331   1.600 JO22MV     Radio Continu,Wieringerwerf/Robbenoordbos (NHO) 
       V 8421   0.800 JO22TA     RADIONL,Ede/Nieuwe Maanderbuurtweg (GEL) 
       V 8421   0.500 JO33BC     RADIONL,Drachten/Tjaarda De Stins (FRI) 
       V 8490   0.400 JO21GT     Radio Hoeksche Waard,Puttershoek/Tankcontainers (ZHO) 
       V 83B5   0.320 JO22CA     Qmusic Non-stop Maximum Hits,Naaldwijk/Hoge Woerd (ZHO) (p)
       V 8080   0.316 JO11TM     WFM96,Middelburg/Kerk (ZEE) 
       V 8048   0.130 JO32LX     Team FM,Stadskanaal/Hotel (GRO) 
       V 7027   0.050 JO21NL     VLOHradio,Hilvarenbeek/Kerktoren (NBR) 
 96.10 V 8063   2.000 JO22NB     FunX,Utrecht/Azielaan (UTR) 
       V 8083   0.370 JO22KI     FunX,Amsterdam/Cellnex Toren (NHO) 
       V 83C8   0.120 JO21XE     Qmusic Limburg,Roermond/Cellnex Toren (LIM) 
 96.20 V 8203  80.000 JO32FF     NPO 3FM,Markelo/Cellnex Toren (OVE) 
       V 80BB   0.900 JO22FB     ZFM,Zoetermeer/Dunanstraat (ZHO) 
       V 8061   0.500 JO21VA     Bie Os,Urmond/Overmunthe (LIM) 
 96.30 V 83E1  20.000 JO21NO     Radio Veronica,Loon op Zand/Cellnex Toren (NBR) 
       V 86EF   1.000 JO22JO     Wild FM,Alkmaar/Cellnex Mast (NHO) 
       V 8421   0.500 JO23XH     RADIONL,Dokkum/Nieuwe Mast Kabel Noord (FRI) 
 96.40 V 80F8   0.320 JO22TV     Radio Spannenburg,Balk/Schoolstraat (FRI) 
 96.50 V 8055   1.600 JO11SI     RTV Scheldemond,Oostburg/Watertoren (ZEE) 
       V 8203   0.400 JO22NP     NPO 3FM,Hoorn/Electronweg (NHO) 
       V 8203   0.060 JO21WX     NPO 3FM,Arnhem/TenneT Toren (GEL) 
       V 8203   0.060 JO22HD     NPO 3FM,Alphen aan den Rijn/Cellnex Toren (ZHO) 
