       M 20AD   0.500 IO51SV     Life FM,Cork/Hollyhill (CO) 
       M 2204   0.050 IO42SD     RTÉ Raidió na Gaeltachta,Maamclassach (KY) 
 93.20 M 2204 158.500 IO52PX     RTÉ Raidió na Gaeltachta,Maghera (CE) 
       V        0.500 IO63VI     ,Dublin (D) (c)
       M 2204   0.150 IO55VD     RTÉ Raidió na Gaeltachta,Magheraroarty (DL) 
 93.30 M 2204   2.500 IO64LE     RTÉ Raidió na Gaeltachta,Monaghan/Lugad Hill (RTE) (MN) 
       M 2204   2.000 IO65II     RTÉ Raidió na Gaeltachta,Malin Head (DL) 
 93.40 M 2204   3.000 IO62II     RTÉ Raidió na Gaeltachta,Suir Valley/Fiddown Hills (KK) 
       M 2204   0.010 IO51SQ     RTÉ Raidió na Gaeltachta,Kinsale (CO) 
                      IO63IW     Spirit Radio,Slieve Glah (CN) 
 93.50 M 2204  50.000 IO63TE     RTÉ Raidió na Gaeltachta,Kippure (WW) 
       M 2204   0.030 IO42TE     RTÉ Raidió na Gaeltachta,Ballydavid (KY) 
 93.60 M 2204   6.000 IO65HA     RTÉ Raidió na Gaeltachta,Hollywell Hill (DL) 
       M 2204   5.000 IO51RU     RTÉ Raidió na Gaeltachta,Cork/Spur Hill (CO) 
       M 2204   1.000 IO52EM     RTÉ Raidió na Gaeltachta,Knockanore (KY) 
 93.70 M 2204   3.000 IO53HW     RTÉ Raidió na Gaeltachta,Castlebar/Croaghmoyle (MO) 
       M 2204   0.020 IO63AK     RTÉ Raidió na Gaeltachta,Athlone (RTE) (WH) 
       V        0.002 IO62DI     South Tipperary General Hospital Radio,Clonmel (TA) 
 93.80 M 2204   2.500 IO52PR     RTÉ Raidió na Gaeltachta,Woodcock Hill (RTE) (CE) 
       M 2204   0.050 IO52UD     RTÉ Raidió na Gaeltachta,Fermoy/Macroney (CO) 
 93.90 M 2204   3.000 IO53AM     RTÉ Raidió na Gaeltachta,Clifden/Cregg Hill (G) 
       M 2204   3.000 IO41TU     RTÉ Raidió na Gaeltachta,Cahirciveen/Kilkeaveragh (KY) 
       V 2204   1.000 IO63WD     RTÉ Raidió na Gaeltachta,Greystones/Bellevue (WW) 
       V        0.030 IO63VI     Dublin South FM,Rathfarnham (D) 
 94.00 M 2204 200.000 IO62OO     RTÉ Raidió na Gaeltachta,Mount Leinster (CW) 
       M 2204   3.000 IO54SX     RTÉ Raidió na Gaeltachta,Arranmore Island (DL) 
 94.10 M 2204   0.500 IO64DS     RTÉ Raidió na Gaeltachta,Ballybofey (DL) 
       M 2204   0.100 IO53HA     RTÉ Raidió na Gaeltachta,Lahinch=Lehinch (CE) 
       M 2204   0.050 IO51SV     RTÉ Raidió na Gaeltachta,Cork/Collins Barracks (CO) 
 94.20 M 2204   4.000 IO65EF     RTÉ Raidió na Gaeltachta,Fanad (DL) 
       V        0.050 IO52QP     ,Limerick/Dooradoyle (LK) (c)
       V              IO63QP     ,Navan (MH) (c)
 94.30 M 2204   3.000 IO43XW     RTÉ Raidió na Gaeltachta,Achill Island/Minaun Heights (MO) 
         20C4   1.000 IO63VI     Upbeat,Dublin (D) 
         205D         IO63VI     Phever,Dublin (D) 
 94.40 M 2204 158.500 IO51KX     RTÉ Raidió na Gaeltachta,Mullaghanish (CO) 
 94.50                IO62SI     Spirit Radio,Wexford (WX) 
 94.60 V 2419   1.000 IO62NU     KCLR 96FM,Carlow (CW) 
       V 2207   0.200 IO63SG     Classic Hits,Saggart Hill (Red Gap) - Slievethoul (D) 
       V        0.050 IO53MS     Claremorris Community Radio,Claremorris (MO) 
       V              IO53VP     Ros FM,Roscommon (RN) 
 94.70 M       10.000 IO62BT     ,Devils Bit Mountain (TA) (p)
       M 23E1   2.000 IO62GT     Spin Southwest,Cullahill (LS) 
       V 2414   1.000 IO64DS     Highland Radio,Ballybofey (DL) 
