 97.20 V 1202   1.000 KN47JA     Radio Plai,Chiinau (CU) 
 97.30 H        2.000 KN46DK     ,Leova (LV) (p)
 97.40 V        3.200 KN38VA     ,Drochia (DR) (p)
       V 0921   0.050 KN46HU     Publika FM,Hinceti (0) (HN) 
 97.50 V 0959   0.500 KN45HV     Radio Albena,Taraclia (TR) 
         0975         KN47KJ     Radio Orhei FM,Orhei (OR) 
 97.60 V        0.100 KN37UO     Eco FM,Faleti (FL) 
 97.70 V 9770   0.200 KN47KB     Maestro FM,Chiinau (CU) 
 97.80 V 5000   0.112 KN37WS     Diaspora FM,Bali (1) (BL) 
 98.00 V 9210   2.500 KN46IG     Publika FM,Comrat (G-CO) 
 98.10 V        1.000 KN47JT     Impuls FM,oldaneti (SD) 
 98.20 V 1202   0.310 KN45DW     Radio Plai,Cahul=Kagul (CH) 
 98.30 V 7250   0.150 KN47KJ     Radio Noroc,Orhei (OR) 
 98.40 V 5158   0.150 KN37ST     Fresh FM (National FM),Glodeni=Glodiany (GL) 
 98.50 V 9850   2.000 KN46UM     Eco FM,tefan Voda (SV) 
 98.60 V        0.600 KN37WE     Radio Plai,Ungheni/SRTV Cetireni (UN) (p)
 98.70          1.600 KN47MS     Radio Zhelannoye,Ribnia (P-RB) 
       V 1001   0.150 KN47NG     Jurnal FM,Ustia (Dubasari) (DB) 
 98.80 V        3.000 KN47DV     ,Floreti (FR) (p)
       H 1202   2.500 KN46JM     Radio Plai,Cimilia (CM) 
 98.90 V        0.500 KN45DW     Vocea Basarabiei,Cahul=Kagul (CH) 
 99.00 V        2.500 KN46CG     ,Cantemir (CT) (p)
 99.10 V        0.300 KN47JT     Jurnal FM,oldaneti (SD) 
 99.30 V        3.000 KN47QD     ,Grigoriopol (P-GR) (p)
       V        0.125 KN47NH     ,Cocieri (c)
       V 7250         KN47MI     Radio Noroc,Marcaui (DB) 
 99.40 V        1.000 KN37UO     Radio Moldova Tineret,Faleti (FL) 
 99.50 V 7250   1.250 KN46IH     Radio Noroc,Comrat (G-CO) 
 99.70 V        3.000 KN47KJ     ,Orhei (OR) (p)
       V 7250   1.400 KN47JA     Radio Noroc,Chiinau (CU) 
 99.90 V 7250   3.000 KN46RP     Radio Noroc,Caueni (CS) 
       V        3.000 KN37ST     Radio Noroc,Glodeni=Glodiany (GL) 
100.00 V        0.630 KN47KV     Radio Moldova Actualitai,Poiana oldaneti (SD) 
100.10 H        5.000 KN47AJ     ,Corneti (HN) (p)
       H        5.000 KN47DG     ,Calarai (CL) (p)
       V 1001   3.160 KN47JB     Jurnal FM,Chiinau/Universitatea Agrara (UASM) (CU) 
       V        0.350 KN46UR     Pomestnoye Radio,Slobozia (P-SL) (i)
       H 1023   0.316 KN37WE     Vocea Basarabiei,Ungheni/SRTV Cetireni (UN) 
100.20 V        1.000 KN38VK     ,Otaci (0) (OC) (p)
       V        0.080 KN47BP     Eco FM,Singerei (SG) 
       V        0.080 KN46CE     ,Plopi (CT) (p)
100.30 V        1.000 KN46IH     Pro 100 (Prosto) Radio,Comrat (G-CO) 
       H 1023   1.000 KN37SS     Vocea Basarabiei,Glodeni=Glodiany (1) (GL) 
                      KN47OG     Dubossarskoe Radio,Dubasari (P-DB) 
100.40 V        0.050 KN48IA     Radio Moldova Actualitai,Sanatauca (FR) 
100.50 H 1201  20.000 KN47GC     Radio Moldova Actualitai,Straeni (ST) 
       V        1.000 KN38NI     Radio Plai,Briceni (BR) 
       V        0.200 KN46UM     Radio Plai,tefan Voda (SV) 
       V 1201   0.050 KN48DF     Radio Moldova Actualitai,Cosaui (SR) 
       V        0.050 KN48ED     Radio Moldova Actualitai,Vasilcau (SR) 
100.70 H 1201  18.000 KN45DW     Radio Moldova Actualitai,Cahul=Kagul (CH) 
       V        5.000 KN46UR     Radio PMR/Radio 1,Slobozia (P-SL) 
