 90.90 H 1201   5.000 IM52IH     SNRT Al Idaa Al-Watania,Safi (7) 
       H        2.000 IM74NS     Medradio,Ghafsai (3) 
       V        2.000 IM60NB     SNRT Al Idaa Al Amazighia,Foum Zguid (9) 
       V        1.000 IM70GU     SNRT Chaine Inter,Tazzarine (8) 
       V        1.000 IM82LB     SNRT Chaine Inter,Bouanane (2) 
                                 Radio Azawan,Guelmim 
 91.00 H 1201  20.000 IM63OW     SNRT Al Idaa Al-Watania,Rabat/Zaer (4) 
       H 1201  20.000 IM50HE     SNRT Al Idaa Al-Watania,Agadir/Biougra (9) 
       V 1203  12.020 IL59KS     SNRT Al Idaa Al Amazighia,Tafraoute (9) 
       V        3.000 IM71MQ     Medradio,Goulmima (8) 
       V 1203   1.000 IM52LR     SNRT Al Idaa Al Amazighia,Oualidia (6) 
       V        1.000 IM74SN     SNRT Chaine Inter,Bni Oulid (3) 
       V        0.500 IM72TG     SNRT Chaine Inter,Rich=Er-Rich (8) 
       V        0.200 IM75VE     SNRT Al Idaa Al-Watania,Tores (1) 
       V        0.200 IM73UL     SNRT Chaine Inter,Imouzzer Marmoucha (3) 
                      IM60SQ     SNRT Chaine Inter,Agdz (8) 
 91.10 H       20.000 IM92AN     SNRT Quran,Bouarfa/Djebel Bouarfa (2) 
       H 1203   5.000 IM70CH     SNRT Al Idaa Al Amazighia,Zagora (8) 
       V        3.160 IM60AM     SNRT Al Idaa Al Amazighia,Taliouine=Taliwine Ville (9) 
       V 111C   1.260 IM75IQ     Radio Mars,Fnideq/Mdieq (1) 
       V 135A   1.000 IM75BS     Medina FM,Tanger/Cap Spartel (1) 
       V        1.000 IM62LB     SNRT Chaine Inter,Bzou (5) 
       V        1.000 IL48HL     SNRT Chaine Inter,Tan-Tan Plage (10) 
       V        1.000 IM73RT     SNRT Chaine Inter,Almanzal=El Menzel (3) 
       V 1202   0.200 IM84BP     SNRT Chaine Inter,Aknoul (3) 
         1201         IM75CK     SNRT Al Idaa Al-Watania,unknown, Tanger area (1) 
 91.20 V       10.000 IL58GO     SNRT Al Idaa Al Amazighia,Assa (10) 
       V 111C   5.000 IM63FM     Radio Mars,Casablanca (6) 
       V 1116   3.000 IM60NW     Aswat,Ouarzazate (8) 
       V        1.580            SNRT Al Idaa Al-Watania,Ben Yaacoub (9) 
       V        1.580 IL59EX     SNRT Al Idaa Al-Watania,Massa (9) 
       V 1203   1.260            SNRT Al Idaa Al Amazighia,Tazemmourt (Taroudant) (9) 
       V 1B01   1.260 IM85CA     SNRT Al Idaa Al Amazighia,Touzarine (2) 
       V 1102   1.000 IM71IH     SNRT Chaine Inter,Alnif (8) 
       V        1.000 IM83AL     SNRT Chaine Inter,Oulad Ali=Ouled Ali Youssef (3) 
 91.30 H 1201  20.000 IM72UB     SNRT Al Idaa Al-Watania,Errachidia/Jebel Izeft (8) 
         1203  12.000 IM84XR     SNRT Al Idaa Al Amazighia,Oujda/Meghrez (2) 
       H        2.000 IL69AR     SNRT Chaine Inter,Tata (9) 
       V 1281   1.260 IM65WE     Medi 1,Larache (1) 
       V        1.260 IM74TW     SNRT Al Idaa Al Amazighia,Targuist (1) 
       V        1.000 IM92ID     Chada FM,Figuig (2) 
       V        0.500 IL49WI     SNRT Quran,Sidi Ifni (10) 
 91.40 H 1202  12.000 IM51GR     SNRT Chaine Inter,Essaouira/Jbel Lahdid (7) 
       V 1259   1.000 IM74MB     Chada FM,Fès/Dhar Mehraz (3) 
       V        1.000 IM61LR     SNRT Al Idaa Al Amazighia,Demnate (5) 
       V        1.000 IM50VH     SNRT Chaine Inter,Azagar N'Ris (9) 
       V        0.500 IM61WF     SNRT Chaine Inter,Kalaat M'Gouna=El-Kelaa M'Gouna (8) 
       V 1118   0.320 IM75ES     Hit Radio,Meloussa (1) 
 91.50 H 1202  10.000 IL49XA     SNRT Chaine Inter,Guelmim/Fogo (10) 
       V 1116   5.000 IM84RH     Aswat,Boukhouali (Taourirt) (2) 
       V 111C   3.000 IM53RF     Radio Mars,El Jadida (6) 
       V        1.000 IM60SQ     Radio 2M,Agdz (8) 
       V        1.000 IM75JG     SNRT Chaine Inter,Talembout (1) 
       V 1118   0.500 IL59DQ     Hit Radio,Tiznit (9) 
       V        0.500 IM72DX     Radio Mars,Khenifra=Xnifra (5) 
       V        0.500 IM63QM     SNRT Chaine Inter,Rommani (4) 
       V        0.200 IM71GS     SNRT Chaine Inter,Aït Hani (8) 
 91.60 H 1201  12.000 IM64QG     SNRT Al Idaa Al-Watania,Kenitra/Mehdia (4) 
       V 111C   3.000 IM62SE     Radio Mars,Beni-Mellal/Tazerkounte (5) 
