104.70 M        0.500 HM58VJ     Radio Clube de Lajes do Pico,Lajes do Pico (PIC) 
105.00          0.500 HM77GS     Radio 105fm Açores,Pico da Barrosa (SMG) 
105.20   8202   0.100 HM77CV     RTP Antena 2,Ponta Delgada / Mosteiros (SMG) 
105.30 M        0.050 HM58WJ     Radio Clube de Lajes do Pico,Fetais (PIC) 
105.50 M        2.000 HM77GS     Radio Nova Cidade,Pico da Barrosa (SMG) 
105.80 C 8202   9.100 HM58PO     RTP Antena 2,Horta/Cabeço Gordo (FAI) 
106.00   84F7   0.050 HM77KS     R80 Radio,Pico Bartolomeu (Povoaçao) (SMG) 
106.10 M        0.500 HM58TM     Radio Cais,Sao Roque do Pico (PIC) (i)
106.30 M 84CB   0.050 HM77ES     Radio Atlantida,Ponta Delgada (SMG) 
106.40 V        0.500 HM68LR     ,Praia da Vitória (TCE) (c)
106.60   8413   1.000 HM68IR     Top FM,Serra de Santa Barbara (TCE) 
107.00   8204   0.100 HM77CV     RTP Antena 3,Ponta Delgada / Mosteiros (SMG) 
107.10 V        0.500 HM58VQ     Radio Lumena,Velas/Pico de Santo Amaro (SJO) 
107.20 M        1.000 HM77GS     Radio Insular,Pico da Barrosa (SMG) 
107.50 V 8202   1.000 HM58VJ     RTP Antena 2,Pico do Geraldo (PIC) 
107.70 M        1.000 HM58VR     ,Macela (SJO) (p)
       V        0.050 HM58RM     Radio Pico,Madalena (PIC) 
107.90 M 80E0   0.500 HM69AA     Radio Graciosa,Santa Cruz da Graciosa / Serra Branca (GCI) 
