 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 89.50 H       77.600 JN97LM     ,Budapest/Szechenyi-hegy (BUD) (c)
       V B203   2.000 JN85RW     MR 1 Kossuth Radió,Barcs / Viktorpuszta (SOM) 
 89.60 V B4A1   0.200 KN07MW     Radió M,Tiszaujvaros / Water tower (BAZ) 
       V B596   0.002 KN07UW     Mustar Radió,Nyiregyhaza / Szt. Istvan str. 20 (SSB) 
       V        0.001 KN18BF     ,Kisvarda / Kölcsey str. (SSB) (c)
       V B589   0.001 KN07EE     Radió Törökszentmiklós,Törökszentmiklós / Kossuth sq. 6. (JNS) 
 89.80 V        0.200 KN08SI     ,Sarospatak (BAZ) (c)
       V B029   0.100 JN96LE     Bajai Radió,Baja / Árpad sq. 1. (BAK) 
 89.90 H B206   5.000 KN07SA     Dankó Radió,Komadi / Hereskert (HAB) 
       H B206   0.100 JN98VC     Dankó Radió,Salgótarjan / Meszes-tetQ (NOG) 
       V        0.010 KN06CL     ,Martely (CSO) (c)
       V        0.010 KN07CC     ,Rakóczifalva (JNS) (c)
                0.010 JN97NA     ,Kunszentmiklós (BAK) (c)
                0.010 KN06BG     ,Szeged / Rókus, Telekom tower (CSO) (c)
       V FFFF   0.001 KN07HA     Pont Radió,MezQtur / PetQfi S. str. 28. (JNS) 
       V B53F   0.001 JN96WR     Radio Smile,Kiskunfelegyhaza/toronyhaz (BAK) 
       V              JN96RW     ,Kerekegyhaza (BAK) (c)
 90.00 V        0.630 JN96CA     ,Pecs (BAR) (p)
       V B014   0.500 KN07TN     FM 90 Campus Radió,Debrecen / University sq. 2 (HAB) 
       V        0.300 JN96CA     Rallye Radió,Pecs (BAR) (t)
       V BBCC   0.070 JN97BE     Maria Radió,Varpalota / Tesi-domb (VES) 
 90.20 H B203   8.300 JN86MN     MR 1 Kossuth Radió,Nagykanizsa/Újudvar (ZAL) 
       H B203   3.000 KN08QM     MR 1 Kossuth Radió,Telkibanya / Panyok Nagy-hegy (BAZ) 
       V        0.040 KN06HN     Mega Radió,Oroshaza / Silo, Október 6 str. (BEK) 
 90.30 H B201  10.000 JN96HO     MR 2 PetQfi Radió,SarszentlQrinc / Uzd (TOL) 
       H B203   0.600 KN06BF     MR 1 Kossuth Radió,Szeged / Újszeged, Lövölde str. (CSO) 
       V B4A5   0.400 JN97ML     Tilos Radio,Budapest/Gellert-hegy (BUD) 
       V        0.100 KN07SF     ,Berettyóujfalu (HAB) (c)
       H B203   0.050 KN08DF     MR 1 Kossuth Radió,Ózd/Drótos-tetQ (BAZ) 
 90.40 M B317   0.500 JN97HG     Radió 1,Velence / Bence hegy (GSM tower) (FEJ) 
       V B317   0.200 KN07CE     Radió 1,Szolnok/Jubileum Square, high-rise (JNS) 
       V        0.200 KN18BJ     ,Zahony / Water tower (SSB) (c)
       H B077   0.100 KN08JC     Európa Radió,Miskolc / ITC Headquarter (BAZ) (c)
 90.50 H        2.000 JN96II     ,Szekszard / Kalvaria-hegy (TOL) (p)
       V B307   1.000 JN97BR     Forras Radió,Komarom / Water tower (KOE) 
       V B664   0.100 KN06PP     Mega Radió,Gyula / High-rise, Budapest blvd. 49. (BEK) 
 90.60 V B317   1.200 JN87WC     Radió 1,Veszprem / High-rise, Kossuth utca (VES) 
       H B4A3   1.000 KN08TJ     Szent Istvan Radió,Satoraljaujhely / Magas-hegy (BAZ) 
       V B465   0.250 JN96CB     Radió 1,Pecs/Megyer, Olga str. (BAR) 
 90.70 H B202  30.000 KN07AU     MR 3 Bartók Radió,Kekes (HEV) 
 90.80 V B1CC   0.150 JN87RH     Maria Radió,Papa / Budai Nagy Antal str. 1. (VES) 
       V B206   0.100 KN06DJ     Dankó Radió,HódmezQvasarhely / High-rise, Kaszap str. 23. (CSO) 
 90.90 V B909   0.160 JN97ML     90.9 Jazzy Radió,Budapest/Sashegy (BUD) 
 91.00 H B206   0.100 JN86TU     Dankó Radió,Balatonrendes / GSM Tower (VES) 
                      JN87TO     ,GyQrujbarat (GMS) (p)
 91.10 V B317   0.760 JN96WR     Radió 1,Kiskunfelegyhaza/toronyhaz (BAK) 
       V B417   0.500 KN07UW     Radió 1,Nyiregyhaza / Szarvas str. 1-3, High-rise (SSB) 
       V B317   0.450 JN96II     Radió 1,Szekszard / Kinizsi str. (TOL) 
 91.20 V B01A   0.235 JN86VI     Radió Most,Kaposvar - Telekom tower (SOM) 
