       V        0.250 JO89AM     ,Köping/silo (VM) (c)
       V        0.030 JO79GT     Radio Hällefors,Hällefors/Gillershöjden (OR) 
       H E201   0.030 JP86MJ     SR P1,Jäkkvik/Fräkenmyran TM (NO) 
 89.10 V E201  60.000 JP90AG     SR P1,Östhammar/Valö TM (UP) 
       H E201  60.000 KP07CU     SR P1,Kiruna/Kirunavaara TM (NO) 
       H E201  10.000 JO76TD     SR P1,Karlskrona/Vämö-Bryggareberget TM (BL) 
       V E220   3.000 JP94TF     NRJ,Vindeln/Renfors RM (VB) 
       V E000   0.500 JP71DC     Radio Siljan,Mora/Gopshus (DA) 
       H E201   0.200 JP82JR     SR P1,Liden/Storberget TM (VN) 
       H E201   0.100 JP63PG     SR P1,Undersåker/Hövallhön TM (JM) 
       V E224   0.050 JO77AE     SR P4,Värnamo/Alandsryd Lunnagården/Tele2 GSM mast (JO) 
 89.20 V E005   1.514 JO65LO     Malmökanalen FM 89,2, Skånepartiet, Radio A, Radio Malmö, Radio MGR, Radiofontänen, Bosnien-Hercegovinas radio, Jadran,Malmö/Regementsgatan 52/Kronprinsen (SN) 
       V        0.500 JO78NT     Radio Sydnärke,Askersund/Zinkgruvans gruvlave (OR) 
       V E220   0.200 JO89MF     NRJ,Mariefred/Åkers Styckebruk/Göksjön (SO) 
       V        0.200 JO89OG     ,Mariefred/Lotorpsberget/Vattentorn (SO) (c)
       H E201   0.150 JP62SK     SR P1,Hede/Husberget TM (JM) 
       H E201   0.030 JP61GO     SR P1,Gördalen/Särna Gördalen TM (DA) 
       V        0.010 JO79NB     Evenemangsradio,Hallsberg/Torp (OR) (t)
       V        0.010 JP81BT     Radio Ljusdal,Ljusdal/Kläppa Fritidsgård (GA) 
 89.30 M E201  60.000 JO67AQ     SR P1,Göteborg/Brudaremossen 100/Brudaremossen TM (VG) 
       H E201  60.000 JP83RG     SR P1,Sollefteå/Multrå-Flugtjärnshöjden TM (VN) 
       V E241   2.000 JO69EP     RIX FM,Arvika/Sulvik TM (VR) 
       V        0.300 KP15CO     Radio Luleå,Luleå/Sinksundsberget (NO) 
       V E201   0.300 JO88XV     SR P1,Nynäshamn/Vattentornet (ST) 
 89.40 H E201  60.000 JP70NJ     SR P1,Borlänge/Teracoms mast Idkerberget (DA) 
       H E201  60.000 JP95LM     SR P1,Arvidsjaur/Julträsk-Akkanålke TM (NO) 
       V E243   2.000 JO87FG     Mix Megapol,Oskarshamn/Lilla Marksvägen/Comviq Mast (KA) 
       V E243   0.200 JO76WS     Mix Megapol,Nybro/Algatan VT (KA) 
 89.50 H E224   5.000 JO65UT     SR P4,Hörby/Sallerup TM (SN) 
       V E243   1.000 JO88DQ     Mix Megapol,Norrköping/Ärlösen (OG) 
       V        0.500 JO88IS     ,Jönåker/Bråttninge RM (SO) (c)
       V EB42   0.300 JO58PI     Mix Megapol,Kungshamn/kom mast vid VT (VG) 
       V E245   0.250 JP84QD     Star FM,Åsele (VB) (p)
       H E201   0.030 JP63NN     SR P1,Kallrör/Järpen Kallrör TM (JM) 
 89.60 H E201  60.000 JO77HP     SR P1,Nässjö/Teracom mast Berg (JO) 
       V E035   3.000 JO99BH     SR P6 Stockholm International, SR P4+,Stockholm/Nacka TM (ST) 
       V E2A0   0.500 JO68NM     Rockklassiker,Lidköping/Silotorn (VG) 
       H E201   0.500 JP60NC     SR P1,Torsby/Lysvik-Bada TM (VR) 
       H E224   0.500 JP71IR     SR P4,Tandsjöborg/Los Tandsjöborg TM (GA) 
       H E201   0.300 JP83FC     SR P1,Ragunda/Hammarstrand Ragunda TM (JM) 
       H E201   0.200 JP62GN     SR P1,Funäsdalen/Funäsdalsberget TM (JM) 
       H E201   0.030 JP98NI     SR P1,Stordalen/Kiruna Stordalen TM (NO) 
       H E035   0.002 JO99AH     SR P6 Stockholm International, SR P4+,Stockholm/Söderledstunneln (ST) 
       H E035   0.002 JO99AI     SR P6 Stockholm International, SR P4+,Stockholm/Klaratunneln (ST) 
 89.70 V E246   1.000 KP04LS     Radio Skellefteå,Skellefteå/Vitberget RM (VB) 
       V E241   0.500 JO97KS     RIX FM,Lärbro/Hellvi (GO) 
       V        0.500 JP82OJ     Sundsvalls Musikradio (Sundsvall Närradio),Sundsvall/Klissberget (VN) 
       V E0A6   0.300 JP81MH     Radio Söderhamn,Söderhamn/Vattentornet (GA) 
       V E241   0.250 JP61ND     RIX FM,Sälfjället/Lindvallen/Teracom RM (DA) 
       V        0.250 JP61ND     ,Sälfjället/Lindvallen/Teracom RM (DA) (c)
       V E220   0.200 JO79WJ     NRJ,Arboga/Brattberget SVK (VM) (p)
       H E201   0.040 JP75OO     SR P1,Tärnamo/Tärnaby Vallenäsberget TM (VB) 
       H E201   0.030 JP86XV     SR P1,Kvikkjokk/Årrevare TM (NO) 
       H E201   0.030 JP63MD     SR P1,Vålådalen/Middagsvalen TM (JM) 
       H E201   0.030 JO79BH     SR P1,Kristinehamn/Utsiktsberget TM (VR) 
 89.80 V E201  30.000 JO66IB     SR P1,Helsingborg/Olympia TM (SN) 
       H E224   3.000 JO78JW     SR P4,Askersund/Laxå-Törntorp Breberg TM (OR) 
       V E245   0.600 JO89MO     Star FM,Enköping/Svinnegarn (UP) 
       V E243   0.500 JO86IU     Mix Megapol,Borgholm/Köpingstall 12:2 (KA) 
